,road_types,avg_speed
0,motorway_link,99.8
1,primary,50.0
2,motorway,100.0
3,secondary,58.3
4,"['motorway', 'motorway_link']",100.0
5,trunk,84.5
6,trunk_link,80.0
7,secondary_link,50.0
