osmid,lanes,name,infra_type,oneway,reversed,length,rfid_c,rfid,avgspeed,time,ref,maxspeed,access,F_EV1_mi,F_EV1_ma,F_EV1_me,F_EV1_fr,road_type,lanes_copy,dam_EV1_al
351669852,2.0,Beach Boulevard,residential,False,False,5.553,36,36,47.0,0.0,None,None,None,1.9700000286102295,2.0,1.9850000143051147,1.0,other,2.0,1504.0
122483548,2.0,1st Avenue South,residential,False,False,5.838,37,37,47.0,0.0,None,None,None,2.3399999141693115,2.3499999046325684,2.3449997901916504,1.0,other,2.0,1688.0
122483548,2.0,1st Avenue South,residential,False,True,5.609,38,38,47.0,0.0,None,None,None,2.3499999046325684,2.3499999046325684,2.3499999046325684,1.0,other,2.0,1623.0
683228857,2.0,2nd Street South,residential,False,False,22.827,39,39,40.0,0.001,None,25 mph,None,2.2899999618530273,2.3499999046325684,2.3299999237060547,1.0,other,2.0,6583.0
683228857,2.0,2nd Street South,residential,False,True,14.984,40,40,40.0,0.0,None,25 mph,None,2.2300000190734863,2.3499999046325684,2.309999942779541,1.0,other,2.0,4306.0
683228845,2.0,South 2nd Street,residential,False,False,8.871,41,41,40.0,0.0,None,25 mph,None,2.2799999713897705,2.299999952316284,2.2899999618530273,1.0,other,2.0,2541.0
683228849,2.0,2nd Avenue South,residential,False,True,6.718,42,42,47.0,0.0,None,None,None,2.259999990463257,2.299999952316284,2.2799999713897705,1.0,other,2.0,1921.0
683228850,2.0,2nd Avenue South,residential,False,False,5.696,43,43,47.0,0.0,None,None,None,2.2799999713897705,2.299999952316284,2.2899999618530273,1.0,other,2.0,1631.0
683228857,2.0,2nd Street South,residential,False,True,8.86,44,44,40.0,0.0,None,25 mph,None,2.2200000286102295,2.299999952316284,2.259999990463257,1.0,other,2.0,2524.0
10868875,2.0,South 2nd Street,residential,False,False,24.753,45,45,40.0,0.001,None,25 mph,None,1.9199999570846558,2.109999895095825,2.0249998569488525,1.0,other,2.0,6764.0
683228845,2.0,South 2nd Street,residential,False,True,22.592,46,46,40.0,0.001,None,25 mph,None,2.109999895095825,2.1600000858306885,2.133333206176758,1.0,other,2.0,6294.0
683228853,2.0,3rd Avenue South,residential,False,False,6.531,47,47,47.0,0.0,None,None,None,2.109999895095825,2.109999895095825,2.109999895095825,1.0,other,2.0,1812.0
683228856,2.0,3rd Avenue South,residential,False,True,6.837,48,48,47.0,0.0,None,None,None,2.109999895095825,2.140000104904175,2.125,1.0,other,2.0,1902.0
10868875,2.0,South 2nd Street,residential,False,False,4.008,49,45,40.0,0.0,None,25 mph,None,1.9299999475479126,1.9299999475479126,1.9299999475479126,1.0,other,2.0,1067.0
10868875,2.0,South 2nd Street,residential,False,True,10.508,50,50,40.0,0.0,None,25 mph,None,1.9299999475479126,1.9900000095367432,1.9600000381469727,1.0,other,2.0,2824.0
10868875,2.0,South 2nd Street,residential,False,False,27.878,51,49,40.0,0.001,None,25 mph,None,1.940000057220459,2.049999952316284,1.9850000143051147,1.0,other,2.0,7548.0
10868875,2.0,South 2nd Street,residential,False,True,37.514,52,50,40.0,0.001,None,25 mph,None,1.9299999475479126,2.0899999141693115,2.021666685740153,1.0,other,2.0,10244.0
122483552,2.0,4th Avenue South,residential,False,False,7.689,53,51,47.0,0.0,None,None,None,2.009999990463257,2.049999952316284,2.0299999713897705,1.0,other,2.0,2103.0
122483552,2.0,4th Avenue South,residential,False,True,5.871,54,52,47.0,0.0,None,None,None,2.049999952316284,2.059999942779541,2.054999828338623,1.0,other,2.0,1613.0
10868875,2.0,South 2nd Street,residential,False,True,53.734,55,53,40.0,0.001,None,25 mph,None,1.8600000143051147,1.8899999856948853,1.8771427699497767,1.0,other,2.0,14072.0
83591037,2.0,5th Avenue South,residential,False,False,8.02,56,54,47.0,0.0,None,None,None,1.8600000143051147,1.8600000143051147,1.8600000143051147,1.0,other,2.0,2089.0
83591037,2.0,5th Avenue South,residential,False,True,5.163,57,55,47.0,0.0,None,None,None,1.8200000524520874,1.8600000143051147,1.840000033378601,1.0,other,2.0,1336.0
10869237,2.0,12th Avenue North,residential,False,False,76.883,58,251,47.0,0.002,None,None,None,0.10999999940395355,0.1899999976158142,0.15000000596046448,0.16904174452853385,other,2.0,362.0
10872687,2.0,18th Street North,residential,False,True,112.928,59,58,47.0,0.002,None,None,None,0.10999999940395355,0.5299999713897705,0.36749998728434247,1.0,other,2.0,7703.0
10869237,2.0,12th Avenue North,residential,False,False,42.182,60,56,47.0,0.001,None,None,None,,,,0.0,other,2.0,
10869237,2.0,12th Avenue North,residential,False,True,76.883,61,58,47.0,0.002,None,None,None,0.10999999940395355,0.1899999976158142,0.15000000596046448,0.16904174452853385,other,2.0,362.0
10877355,2.0,17th Street North,residential,False,False,112.022,62,57,47.0,0.002,None,None,None,,,,0.0,other,2.0,
10869237,2.0,12th Avenue North,residential,False,False,35.715,63,59,47.0,0.001,None,None,None,,,,0.0,other,2.0,
10869237,2.0,12th Avenue North,residential,False,True,42.182,64,60,47.0,0.001,None,None,None,,,,0.0,other,2.0,
10874245,2.0,Sunset Drive,residential,False,False,85.203,65,61,47.0,0.002,None,None,None,,,,0.0,other,2.0,
10869237,2.0,12th Avenue North,residential,False,False,76.594,66,62,47.0,0.002,None,None,None,,,,0.0,other,2.0,
10869237,2.0,12th Avenue North,residential,False,True,35.715,67,63,47.0,0.001,None,None,None,,,,0.0,other,2.0,
10870354,2.0,16th Street North,residential,False,True,112.687,68,64,47.0,0.002,None,None,None,,,,0.0,other,2.0,
10869237,2.0,12th Avenue North,residential,False,True,76.594,69,65,47.0,0.002,None,None,None,,,,0.0,other,2.0,
10869238,2.0,12th Avenue North,residential,False,False,194.449,70,66,47.0,0.004,None,None,None,1.2100000381469727,1.4800000190734863,1.3146153963529146,1.0,other,2.0,39659.0
10890807,2.0,Patricia Lane,residential,False,False,9.772,71,67,47.0,0.0,None,None,None,1.340000033378601,1.340000033378601,1.340000033378601,1.0,other,2.0,2029.0
10890807,2.0,Patricia Lane,residential,False,True,9.474,72,68,47.0,0.0,None,None,None,1.2699999809265137,1.340000033378601,1.3100001017252605,1.0,other,2.0,1926.0
10869238,2.0,12th Avenue North,residential,False,True,194.449,73,69,47.0,0.004,None,None,None,1.2100000381469727,1.4800000190734863,1.3146153963529146,1.0,other,2.0,39659.0
10884260,2.0,7th Street North,residential,False,False,18.996,74,70,47.0,0.0,None,None,None,1.25,1.4800000190734863,1.3700000047683716,1.0,other,2.0,4027.0
10884260,2.0,7th Street North,residential,False,True,26.099,75,71,47.0,0.001,None,None,None,1.2899999618530273,1.4800000190734863,1.352500081062317,1.0,other,2.0,5466.0
10869239,2.0,12th Avenue North,residential,False,False,13.597,76,72,47.0,0.0,None,None,None,1.309999942779541,1.559999942779541,1.4399998982747395,1.0,other,2.0,3020.0
10869239,2.0,12th Avenue North,residential,False,False,7.542,77,72,47.0,0.0,None,None,None,0.3700000047683716,0.4300000071525574,0.4000000059604645,1.0,other,2.0,560.0
10869239,2.0,12th Avenue North,residential,False,True,6.028,78,74,47.0,0.0,None,None,None,0.3700000047683716,0.3700000047683716,0.3700000047683716,1.0,other,2.0,414.0
10869239,2.0,12th Avenue North,residential,False,False,6.984,79,73,47.0,0.0,None,None,None,1.9700000286102295,1.9900000095367432,1.9800000190734863,1.0,other,2.0,1888.0
10869239,2.0,12th Avenue North,residential,False,True,7.603,80,74,47.0,0.0,None,None,None,1.8899999856948853,1.9700000286102295,1.9300000667572021,1.0,other,2.0,2024.0
351669850,2.0,North 2nd Street,residential,False,False,53.354,81,75,40.0,0.001,None,25 mph,None,1.7799999713897705,2.0999999046325684,1.9342858450753349,1.0,other,2.0,14223.0
351669850,2.0,North 2nd Street,residential,False,True,50.226,82,76,40.0,0.001,None,25 mph,None,1.7799999713897705,1.9700000286102295,1.8657143456595284,1.0,other,2.0,13106.0
10869239,2.0,12th Avenue North,residential,False,False,13.486,83,77,47.0,0.0,None,None,None,1.5199999809265137,1.649999976158142,1.596666653951009,1.0,other,2.0,3220.0
10869239,2.0,12th Avenue North,residential,False,True,8.242,84,78,47.0,0.0,None,None,None,1.649999976158142,1.649999976158142,1.649999976158142,1.0,other,2.0,2004.0
1390298834,2.0,3rd Street North,primary,True,False,50.527,85,79,56.0,0.001,FL A1A,35 mph,None,1.4700000286102295,1.6699999570846558,1.5514285223824638,1.0,primary,2.0,59379.0
10873111,2.0,North 4th Street,residential,False,False,53.69,86,81,47.0,0.001,None,None,None,0.9900000095367432,1.2899999618530273,1.1728571483067103,1.0,other,2.0,9848.0
10873111,2.0,North 4th Street,residential,False,True,52.903,87,82,47.0,0.001,None,None,None,0.6899999976158142,1.25,0.9942857197352818,1.0,other,2.0,8340.0
1390052457,2.0,12th Avenue North,residential,False,False,106.209,88,80,47.0,0.002,None,None,None,1.0700000524520874,1.25,1.170666758219401,1.0,other,2.0,19448.0
1390052457,2.0,12th Avenue North,residential,False,True,79.946,89,83,47.0,0.002,None,None,None,1.1799999475479126,1.409999966621399,1.3290908986871892,1.0,other,2.0,16473.0
351669862,2.0,North 5th Street,residential,False,False,52.268,90,86,47.0,0.001,None,None,None,0.9700000286102295,1.1299999952316284,1.0514286586216517,1.0,other,2.0,8668.0
351669862,2.0,North 5th Street,residential,False,True,104.252,91,84,47.0,0.002,None,None,None,0.9900000095367432,1.1100000143051147,1.0476922988891602,1.0,other,2.0,17233.0
1390052457,2.0,12th Avenue North,residential,False,True,106.209,92,85,47.0,0.002,None,None,None,1.0700000524520874,1.25,1.170666758219401,1.0,other,2.0,19448.0
10869240,2.0,12th Avenue North,residential,False,False,60.499,93,87,47.0,0.001,None,None,None,0.5400000214576721,0.8999999761581421,0.7122222052680122,1.0,other,2.0,7299.0
10880338,2.0,North 8th Street,residential,False,False,28.507,94,88,47.0,0.001,None,None,None,0.6899999976158142,0.8999999761581421,0.7699999809265137,1.0,other,2.0,3655.0
10880338,2.0,North 8th Street,residential,False,True,32.678,95,89,47.0,0.001,None,None,None,0.3400000035762787,0.8999999761581421,0.6279999732971191,1.0,other,2.0,3581.0
10869240,2.0,12th Avenue North,residential,False,False,16.48,96,87,47.0,0.0,None,None,None,0.6899999976158142,0.699999988079071,0.6933333079020182,1.0,other,2.0,1947.0
10869240,2.0,12th Avenue North,residential,False,True,60.499,97,420,47.0,0.001,None,None,None,0.5400000214576721,0.8999999761581421,0.7122222052680122,1.0,other,2.0,7299.0
10869240,2.0,12th Avenue North,residential,False,False,9.189,98,87,47.0,0.0,None,None,None,0.44999998807907104,0.7200000286102295,0.6200000047683716,1.0,other,2.0,997.0
10869240,2.0,12th Avenue North,residential,False,True,16.48,99,420,47.0,0.0,None,None,None,0.6899999976158142,0.699999988079071,0.6933333079020182,1.0,other,2.0,1947.0
10869240,2.0,12th Avenue North,residential,False,False,9.371,100,87,47.0,0.0,None,None,None,0.7200000286102295,0.7200000286102295,0.7200000286102295,1.0,other,2.0,1140.0
10869240,2.0,12th Avenue North,residential,False,True,9.189,101,420,47.0,0.0,None,None,None,0.44999998807907104,0.7200000286102295,0.6200000047683716,1.0,other,2.0,997.0
10869240,2.0,12th Avenue North,residential,False,False,8.031,102,87,47.0,0.0,None,None,None,0.5899999737739563,0.7200000286102295,0.6549999713897705,1.0,other,2.0,909.0
10869240,2.0,12th Avenue North,residential,False,True,9.371,103,420,47.0,0.0,None,None,None,0.7200000286102295,0.7200000286102295,0.7200000286102295,1.0,other,2.0,1140.0
10869240,2.0,12th Avenue North,residential,False,False,12.109,104,87,47.0,0.0,None,None,None,0.5899999737739563,0.6299999952316284,0.6133333444595337,1.0,other,2.0,1304.0
10869240,2.0,12th Avenue North,residential,False,True,8.031,105,420,47.0,0.0,None,None,None,0.5899999737739563,0.7200000286102295,0.6549999713897705,1.0,other,2.0,909.0
