u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP100_me,RP100_fr,RP1000_me,RP1000_fr,dam_RP1000_HZ_segments,dam_RP1000_HZ,dam_RP100_HZ_segments,dam_RP100_HZ,risk_HZ_segments,risk_HZ,name,junction
298438528,9646055863,0,1095936809,True,1,nan,secondary,50,False,33.428,"[2436, 2435, 876]",57,50.0,0.001,nan,1.0,1.0,3.0,1.0,"[974.81, 1539.06, 773.91]",3287.78,"[nan, 923.44, nan]",923.44,"[5.36, 100.35, 4.26]",109.97,Maastrichterweg,nan
298438528,9646055861,0,1095936808,True,1,nan,secondary,50,False,33.221,"[2433, 2282, 2434]",120,50.0,0.001,nan,,1.0,1.7894736842105263,1.0,"[849.28, 752.17, 799.09]",2400.54,"[nan, nan, nan]",0.0,"[4.67, 4.14, 4.39]",13.2,Maastrichterweg,nan
355917887,4980868656,0,"[1094519680, 1094519681, 1094518829, 6778694]",True,"['1', '2', '3']",A79,"['motorway', 'motorway_link']",100,False,1160.3159999999998,"[2212, 43, 46, 879, 81, 2387, 2389, 2390, 56, 1599]",58,100.0,0.012,nan,1.0,1.0,1.0,1.0,"[19819.13, nan, nan, nan, nan, 19740.48, nan, nan, nan, nan]",39559.61,"[19819.13, nan, nan, nan, nan, 23500.57, nan, nan, nan, nan]",43319.7,"[2081.01, 0.0, 0.0, 0.0, 0.0, 2446.88, 0.0, 0.0, 0.0, 0.0]",4527.89,nan,nan
355917887,6284808447,0,"[6778696, 1094519682, 1356676043]",True,1,A79,motorway_link,"['130', '80']",False,814.7999999999998,"[133, 2700, 150, 919, 1943, 920, 921, 2208, 2209, 2210, 1713, 2236, 2237, 2240, 2241, 2242, 2243, 2244, 2256, 88, 89, 91, 93, 104, 105, 106, 107, 108, 1137, 1139, 1140, 125]",113,105.0,0.008,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,nan,nan
364718988,8575829417,0,"[6777666, 1094543644]",True,"['2', '3']",A2,motorway,100,False,577.867,"[866, 836, 2407, 946, 947, 948, 853, 1973, 2167]",116,100.0,0.006,nan,,1.0,1.6210526315789473,1.0,"[nan, nan, nan, nan, 13550.17, nan, 20631.46, 7761.41, nan]",41943.04,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0, 74.53, 0.0, 113.47, 42.69, 0.0]",230.69,nan,nan
672173771,10036651817,0,6779700,True,1,nan,secondary,50,False,7.24,"[2273, 2291, 220, 909]",61,50.0,0.0,nan,3.0,1.0,4.0,1.0,"[174.36, 222.86, 184.5, 234.89]",816.61,"[256.41, 198.1, 307.5, 210.16]",972.17,"[26.47, 20.94, 31.61, 22.2]",101.22,nan,roundabout
672173771,931755857,0,1095936800,True,1,nan,secondary,50,False,36.698,"[2430, 2429, 910, 2690]",62,50.0,0.001,nan,2.6666666666666665,1.0,4.541666666666667,1.0,"[530.75, 1414.35, 1269.62, 1176.14]",4390.86,"[477.68, 850.29, 1142.66, 1128.46]",3599.09,"[50.45, 92.38, 120.68, 118.75]",382.26,Maastrichterweg,nan
672173771,9646055863,0,6779700,True,1,nan,secondary,50,False,24.984,"[1962, 907, 2284, 2285, 2286, 2287, 2288, 908, 2289, 2290, 214, 216, 218]",121,50.0,0.0,nan,2.6875,1.0,4.294117647058823,1.0,"[216.56, 199.11, 210.49, 194.06, 210.71, 229.78, 240.25, 247.5, 247.12, 234.65, 199.86, 240.88, 231.0]",2901.97,"[132.34, 152.26, 128.63, 128.08, 128.77, 193.5, 208.22, 198.0, 210.06, 209.95, 129.32, 481.75, 300.3]",2601.18,"[14.36, 16.24, 13.96, 13.81, 13.97, 20.52, 22.04, 21.06, 22.26, 22.18, 13.97, 49.26, 31.15]",274.78,nan,roundabout
847933557,847933560,0,71234475,True,nan,nan,secondary,50,False,39.964999999999996,"[1025, 1733, 926]",64,50.0,0.001,nan,5.0,1.0,5.0,1.0,"[1906.88, 3020.4, 4064.85]",8992.13,"[1906.88, 3020.4, 4064.85]",8992.13,"[200.22, 317.14, 426.81]",944.17,Bunderstraat,nan
847933557,6153690991,0,509397985,True,nan,nan,secondary,50,False,80.766,"[1734, 1885, 1045, 251, 253]",112,50.0,0.002,nan,5.0,1.0,5.0,1.0,"[1733.18, 2551.95, 4256.1, 3848.62, 5782.5]",18172.35,"[1733.18, 2551.95, 4256.1, 3848.62, 5782.5]",18172.35,"[181.98, 267.95, 446.89, 404.11, 607.16]",1908.09,Bunderstraat,nan
