u,v,key,osmid,highway,lanes,name,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP1_me,RP1_fr,RP100_me,RP100_fr,RP20_me,RP20_fr,dam_RP100_al_segments,dam_RP100_al,dam_RP20_al_segments,dam_RP20_al,dam_RP1_al_segments,dam_RP1_al,risk_al_segments,risk_al,maxspeed,ref,access,junction
99010517,99238038,0,11143828,residential,1,Tree Drive,True,False,119.03540308858466,"[4968, 1034, 4526, 2321, 7103]",695,43.0,0.003,nan,,0.0,0.16461537434504583,0.9913753135168707,,0.0,"[np.float64(85.0), np.float64(161.0), np.float64(70.0), np.float64(54.0), np.float64(531.0)]",901.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(2.55), np.float64(4.83), np.float64(2.1), np.float64(1.62), np.float64(15.93)]",27.03,nan,nan,nan,nan
99010517,4316691305,0,1469368086,secondary,2,Pine Tree Drive,True,False,35.66530547352015,"[4888, 3369, 107]",1456,48.0,0.001,nan,,0.0,0.06499999761581421,0.731235307402099,,0.0,"[np.float64(138.0), np.float64(127.0), np.float64(174.0)]",439.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(4.14), np.float64(3.81), np.float64(5.22)]",13.17,30 mph,nan,nan,nan
99010517,4316815473,0,447043495,secondary_link,1,nan,True,False,18.927808963182148,"[3428, 7110, 7111, 3528, 3529, 3530]",1470,40.0,0.0,nan,,0.0,,0.0,,0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0.0,nan,nan,nan,nan
99010519,99010522,0,11107091,residential,nan,nan,True,False,28.12225083005442,"[3427, 29, 3430]",9,43.0,0.001,nan,,0.0,0.11500000208616257,0.42071062538842086,,0.0,"[np.float64(111.0), np.float64(nan), np.float64(16.0)]",127.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(3.33), np.float64(0.0), np.float64(0.48)]",3.81,nan,nan,nan,nan
99010519,4316691305,0,432722807,residential,nan,nan,True,False,24.62767884895381,"[3426, 3365, 3366, 3367, 3370]",1454,43.0,0.001,nan,,0.0,0.06666666766007741,0.8819342792453696,,0.0,"[np.float64(30.0), np.float64(14.0), np.float64(21.0), np.float64(31.0), np.float64(30.0)]",126.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(0.9), np.float64(0.42), np.float64(0.63), np.float64(0.93), np.float64(0.9)]",3.78,nan,nan,nan,nan
99010519,4316705867,0,11107091,residential,nan,nan,True,False,28.760441930251773,"[3531, 3404, 3364]",1462,43.0,0.001,nan,,0.0,0.07000000029802322,0.38755102352926063,,0.0,"[np.float64(40.0), np.float64(nan), np.float64(18.0)]",58.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(1.2), np.float64(0.0), np.float64(0.54)]",1.74,nan,nan,nan,nan
99010522,99068170,0,432722806,residential,2,Flamingo Drive,True,False,55.33087619789461,"[2322, 7102, 30]",10,43.0,0.001,nan,,0.0,0.125,0.3937734952459387,,0.0,"[np.float64(nan), np.float64(nan), np.float64(262.0)]",262.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(0.0), np.float64(0.0), np.float64(7.86)]",7.86,nan,nan,nan,nan
99010522,99094836,0,1194205709,residential,2,Flamingo Drive,False,False,335.7382756347262,"[3300, 4070, 3303, 2506, 492, 2317, 494, 2319, 496, 3341, 498, 500, 502, 3354, 3358]",341,43.0,0.008,nan,,0.0,0.33324326695622625,0.9605974131435275,0.2036842045031096,0.49726216226173736,"[np.float64(1076.0), np.float64(123.0), np.float64(354.0), np.float64(541.0), np.float64(597.0), np.float64(1050.0), np.float64(2018.0), np.float64(253.0), np.float64(1745.0), np.float64(137.0), np.float64(1168.0), np.float64(197.0), np.float64(109.0), np.float64(343.0), np.float64(583.0)]",10294.0,"[np.float64(564.0), np.float64(nan), np.float64(nan), np.float64(252.0), np.float64(230.0), np.float64(nan), np.float64(1115.0), np.float64(nan), np.float64(690.0), np.float64(nan), np.float64(190.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(252.0)]",3293.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(311.46), np.float64(3.69), np.float64(10.62), np.float64(140.97), np.float64(131.76), np.float64(31.5), np.float64(612.46), np.float64(7.59), np.float64(393.9), np.float64(4.11), np.float64(129.09), np.float64(5.91), np.float64(3.27), np.float64(10.29), np.float64(142.23)]",1938.85,nan,nan,nan,nan
99011357,99148122,0,11135317,residential,nan,Barry Street,False,False,89.04059944012131,"[3655, 5135, 752, 5137, 7508]",516,43.0,0.002,nan,0.14888887935214573,0.7895389510662992,0.9563636779785156,1.0,0.7163636901161887,1.0,"[np.float64(2913.0), np.float64(273.0), np.float64(679.0), np.float64(1041.0), np.float64(1924.0)]",6830.0,"[np.float64(2336.0), np.float64(225.0), np.float64(545.0), np.float64(830.0), np.float64(1530.0)]",5466.0,"[np.float64(464.0), np.float64(63.0), np.float64(117.0), np.float64(126.0), np.float64(233.0)]",1003.0,"[np.float64(1464.11), np.float64(149.49), np.float64(345.72), np.float64(501.93), np.float64(925.74)]",3386.99,nan,nan,nan,nan
99011357,604127434,0,"[47471661, 680642390]",primary,1,Alton Road,True,False,89.89106392459472,"[33, 4485, 5096, 5097, 7889, 7890, 3603, 1843, 8117, 3606, 1844]",13,48.0,0.002,nan,0.0700000027815501,0.23043585883851933,0.7300000190734863,1.0,0.49285711560930523,1.0,"[np.float64(780.0), np.float64(1205.0), np.float64(1127.0), np.float64(478.0), np.float64(383.0), np.float64(523.0), np.float64(1293.0), np.float64(1379.0), np.float64(993.0), np.float64(3835.0), np.float64(2013.0)]",14009.0,"[np.float64(616.0), np.float64(880.0), np.float64(854.0), np.float64(255.0), np.float64(204.0), np.float64(354.0), np.float64(993.0), np.float64(1072.0), np.float64(787.0), np.float64(3015.0), np.float64(1186.0)]",10216.0,"[np.float64(62.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(97.0), np.float64(198.0), np.float64(nan)]",357.0,"[np.float64(357.77), np.float64(471.75), np.float64(456.54), np.float64(140.56), np.float64(112.47), np.float64(190.92), np.float64(530.32), np.float64(572.01), np.float64(465.43), np.float64(1701.52), np.float64(647.46)]",5646.75,30 mph,FL 907A,nan,nan
