u,v,key,osmid,highway,lanes,name,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP1_me,RP1_fr,RP100_me,RP100_fr,RP20_me,RP20_fr,dam_RP100_al_segments,dam_RP100_al,dam_RP20_al_segments,dam_RP20_al,dam_RP1_al_segments,dam_RP1_al,risk_al_segments,risk_al,maxspeed,ref,access,junction
99083636,4243836250,0,425090383,residential,2,Euclid Avenue,False,False,71.40227787510425,"[5775, 5407, 2991]",1378,48.0,0.001,nan,,0.0,0.8787500262260437,1.0,0.6787499785423279,1.0,"[np.float64(407.0), np.float64(4217.0), np.float64(525.0)]",5149.0,"[np.float64(333.0), np.float64(3467.0), np.float64(435.0)]",4235.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(177.04), np.float64(1842.67), np.float64(231.08)]",2250.79,30 mph,nan,nan,nan
99083638,99083639,0,425089783,residential,nan,Española Way,False,True,105.27167231078343,"[6954, 5404, 349]",262,43.0,0.002,nan,0.09285713945116315,0.6153688525495541,0.8199999673025948,1.0,0.632857118334089,1.0,"[np.float64(396.0), np.float64(533.0), np.float64(6314.0)]",7243.0,"[np.float64(325.0), np.float64(429.0), np.float64(5229.0)]",5983.0,"[np.float64(nan), np.float64(nan), np.float64(577.0)]",577.0,"[np.float64(172.76), np.float64(228.34), np.float64(3051.85)]",3452.95,nan,nan,nan,nan
99083639,99083649,0,11119626,residential,nan,Española Way,False,True,21.410224374441167,350,263,43.0,0.0,nan,0.07000000029802322,0.43017943286772825,0.8033332824707031,1.0,0.6166666348775228,1.0,[np.float64(1443.0)],1443.0,[np.float64(1188.0)],1188.0,[np.float64(62.0)],62.0,[np.float64(660.8)],660.8,nan,nan,nan,nan
99083639,4243804341,0,11119626,residential,nan,Española Way,False,False,10.225908410435153,2865,1338,43.0,0.0,nan,0.05999999865889549,0.17936890321772275,0.7949999570846558,1.0,0.6050000190734863,1.0,[np.float64(684.0)],684.0,[np.float64(560.0)],560.0,[np.float64(11.0)],11.0,[np.float64(302.94)],302.94,nan,nan,nan,nan
99089146,7174630897,0,106352095,trunk,2,Alton Road,True,False,19.67869157099007,352,264,48.0,0.0,nan,0.14000000059604645,1.0,0.9049999713897705,1.0,0.6850000619888306,1.0,[np.float64(7273.0)],7273.0,[np.float64(5888.0)],5888.0,[np.float64(1322.0)],1322.0,[np.float64(3760.7)],3760.7,30 mph,FL 907,nan,nan
99089146,4608990875,0,768485337,residential,3,20th Street,False,True,11.622440956487656,"[4786, 3547]",1490,40.0,0.0,nan,0.1550000011920929,1.0,0.9200000166893005,1.0,0.7049999833106995,1.0,"[np.float64(524.0), np.float64(781.0)]",1305.0,"[np.float64(426.0), np.float64(638.0)]",1064.0,"[np.float64(101.0), np.float64(155.0)]",256.0,"[np.float64(274.56), np.float64(412.86)]",687.42,25 mph,nan,nan,nan
99089146,99357504,0,1240913636,residential,3,20th Street,False,False,28.258177418797167,"[7264, 4774, 4776, 4265, 4269, 7258, 7260, 1469, 7262]",965,40.0,0.001,nan,0.23999998569488526,1.0,1.0020000457763671,1.0,0.784000015258789,1.0,"[np.float64(512.0), np.float64(307.0), np.float64(375.0), np.float64(291.0), np.float64(330.0), np.float64(361.0), np.float64(290.0), np.float64(662.0), np.float64(276.0)]",3404.0,"[np.float64(422.0), np.float64(256.0), np.float64(313.0), np.float64(241.0), np.float64(277.0), np.float64(303.0), np.float64(243.0), np.float64(555.0), np.float64(228.0)]",2838.0,"[np.float64(129.0), np.float64(95.0), np.float64(114.0), np.float64(87.0), np.float64(106.0), np.float64(116.0), np.float64(93.0), np.float64(212.0), np.float64(82.0)]",1034.0,"[np.float64(285.52), np.float64(181.06), np.float64(220.33), np.float64(169.35), np.float64(197.36), np.float64(215.91), np.float64(173.16), np.float64(395.28), np.float64(160.09)]",1998.06,25 mph,nan,nan,nan
99089146,99089396,0,"[190675418, 1051258100, 1240913637]",trunk,3,Alton Road,True,False,48.928980509671405,"[2016, 387, 4836, 4779]",282,48.0,0.001,nan,0.26374998688697815,1.0,1.0262500047683716,1.0,0.8125,1.0,"[np.float64(8704.0), np.float64(9695.0), np.float64(6257.0), np.float64(5045.0)]",29701.0,"[np.float64(7458.0), np.float64(8435.0), np.float64(5154.0), np.float64(4189.0)]",25236.0,"[np.float64(3060.0), np.float64(3668.0), np.float64(1525.0), np.float64(1480.0)]",9733.0,"[np.float64(5406.33), np.float64(6208.48), np.float64(3463.31), np.float64(2927.9)]",18006.02,30 mph,FL 907,nan,nan
99089292,2887735846,0,535175234,residential,nan,West 44th Court,False,False,11.518793982423002,2560,1237,43.0,0.0,nan,,0.0,0.8199999928474426,1.0,0.5600000023841858,1.0,[np.float64(789.0)],789.0,[np.float64(597.0)],597.0,[np.float64(nan)],0.0,[np.float64(319.18)],319.18,nan,nan,nan,nan
99089292,99089294,0,535175236,primary,2,Alton Road,True,False,149.61439427029399,361,268,48.0,0.003,nan,0.11333333452542622,0.038432279380780254,0.8995651576829993,1.0,0.6456521904986837,1.0,[np.float64(55037.0)],55037.0,[np.float64(42881.0)],42881.0,[np.float64(313.0)],313.0,[np.float64(23025.88)],23025.88,30 mph,FL 907,nan,nan
99089292,4608991775,0,"[534860689, 1023133719]",primary,"['3', '2']",Alton Road,True,False,129.02228624405817,"[2532, 357, 358, 3654, 359, 5337]",1504,48.0,0.003,nan,,0.0,0.8331249952316284,1.0,0.5718749761581421,1.0,"[np.float64(9899.0), np.float64(10500.0), np.float64(8559.0), np.float64(7275.0), np.float64(11859.0), np.float64(914.0)]",49006.0,"[np.float64(7170.0), np.float64(8164.0), np.float64(6385.0), np.float64(5692.0), np.float64(8945.0), np.float64(683.0)]",37039.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(3846.12), np.float64(4356.18), np.float64(3417.34), np.float64(3035.79), np.float64(4783.54), np.float64(365.5)]",19804.47,30 mph,FL 907,nan,nan
99089294,2887735843,0,285090944,residential,nan,West 44th Street,False,True,11.31021046843275,2554,1234,43.0,0.0,nan,0.09000000357627869,0.06501296748791399,0.9449999928474426,1.0,0.6949999928474426,1.0,[np.float64(865.0)],865.0,[np.float64(684.0)],684.0,[np.float64(6.0)],6.0,[np.float64(367.38)],367.38,nan,nan,nan,nan
99089294,99219021,0,11141518,residential,nan,West 44th Street,False,True,80.15865781494087,"[1000, 7515, 7517]",686,43.0,0.002,nan,0.13750000794728598,0.9650003967421052,1.028461529658391,1.0,0.7792307780339167,1.0,"[np.float64(637.0), np.float64(5108.0), np.float64(753.0)]",6498.0,"[np.float64(521.0), np.float64(4171.0), np.float64(612.0)]",5304.0,"[np.float64(105.0), np.float64(838.0), np.float64(112.0)]",1055.0,"[np.float64(326.88), np.float64(2615.94), np.float64(378.73)]",3321.55,nan,nan,nan,nan
99089294,604127409,0,"[47471642, 47471667]",primary,2,Alton Road,True,False,246.429882733856,"[7956, 7957, 7958, 7959, 7960, 7961, 7962, 7963, 7964, 7965, 7966, 7967, 7968, 7969, 7970, 7971, 7972, 3636, 1849, 1850, 1851, 2369, 2371, 1752, 1753, 363]",271,48.0,0.005,nan,0.1903846263885498,0.9472033904384283,1.05,1.0,0.8060000101725261,1.0,"[np.float64(3166.0), np.float64(2487.0), np.float64(3426.0), np.float64(2872.0), np.float64(3803.0), np.float64(3810.0), np.float64(9731.0), np.float64(7494.0), np.float64(3028.0), np.float64(3041.0), np.float64(3450.0), np.float64(2789.0), np.float64(2703.0), np.float64(3055.0), np.float64(2423.0), np.float64(3069.0), np.float64(2595.0), np.float64(2848.0), np.float64(2381.0), np.float64(2981.0), np.float64(3319.0), np.float64(2289.0), np.float64(5432.0), np.float64(3779.0), np.float64(9115.0), np.float64(5280.0)]",100366.0,"[np.float64(2819.0), np.float64(2219.0), np.float64(2950.0), np.float64(2400.0), np.float64(3238.0), np.float64(3261.0), np.float64(8288.0), np.float64(6357.0), np.float64(2552.0), np.float64(2428.0), np.float64(2839.0), np.float64(2290.0), np.float64(2158.0), np.float64(2471.0), np.float64(1936.0), np.float64(2504.0), np.float64(2070.0), np.float64(2297.0), np.float64(1913.0), np.float64(2427.0), np.float64(2684.0), np.float64(1835.0), np.float64(4322.0), np.float64(3193.0), np.float64(7973.0), np.float64(4180.0)]",83604.0,"[np.float64(1079.0), np.float64(860.0), np.float64(929.0), np.float64(606.0), np.float64(945.0), np.float64(987.0), np.float64(2464.0), np.float64(1820.0), np.float64(670.0), np.float64(368.0), np.float64(611.0), np.float64(510.0), np.float64(257.0), np.float64(438.0), np.float64(335.0), np.float64(492.0), np.float64(229.0), np.float64(392.0), np.float64(234.0), np.float64(495.0), np.float64(477.0), np.float64(199.0), np.float64(1022.0), np.float64(879.0), np.float64(2809.0), np.float64(529.0)]",20636.0,"[np.float64(2002.91), np.float64(1581.52), np.float64(2004.3), np.float64(1562.01), np.float64(2165.78), np.float64(2197.32), np.float64(5564.89), np.float64(4236.04), np.float64(1672.33), np.float64(1467.89), np.float64(1799.03), np.float64(1459.47), np.float64(1271.38), np.float64(1522.84), np.float64(1190.14), np.float64(1565.25), np.float64(1211.27), np.float64(1408.65), np.float64(1129.51), np.float64(1525.92), np.float64(1654.72), np.float64(1071.52), np.float64(2787.8), np.float64(2111.43), np.float64(5554.36), np.float64(2478.78)]",54197.06,30 mph,FL 907,nan,nan
99089377,4608991401,0,518644059,residential,nan,West 29th Street,False,False,11.183587294951197,3579,1501,43.0,0.0,nan,0.09000000357627869,0.41855778492331186,0.8400000333786011,1.0,0.6150000095367432,1.0,[np.float64(780.0)],780.0,[np.float64(619.0)],619.0,[np.float64(40.0)],40.0,[np.float64(348.8)],348.8,nan,nan,nan,nan
99089377,99102654,0,11135139,residential,nan,West 29th Street,False,True,124.56619918904907,"[7491, 522, 7501, 4237, 7481]",352,43.0,0.003,nan,0.15428570338657924,1.0,0.9464285033089774,1.0,0.7200000626700265,1.0,"[np.float64(988.0), np.float64(694.0), np.float64(626.0), np.float64(1584.0), np.float64(5714.0)]",9606.0,"[np.float64(855.0), np.float64(558.0), np.float64(503.0), np.float64(1299.0), np.float64(4624.0)]",7839.0,"[np.float64(348.0), np.float64(115.0), np.float64(71.0), np.float64(395.0), np.float64(1069.0)]",1998.0,"[np.float64(618.16), np.float64(351.66), np.float64(301.49), np.float64(878.15), np.float64(2968.08)]",5117.54,nan,nan,nan,nan
99089377,604127428,0,"[518644571, 47471644, 518642422, 518644060]",trunk,2,Alton Road,True,False,441.3808510590062,"[3584, 3586, 3717, 3589, 3594, 365, 366, 1774, 1776, 367, 368, 369, 370, 371, 3581]",1094,48.0,0.009,nan,0.15440000534057619,0.2738416552948112,0.8054098535756595,1.0,0.5816393367579726,1.0,"[np.float64(6852.0), np.float64(8842.0), np.float64(10403.0), np.float64(6230.0), np.float64(11375.0), np.float64(14872.0), np.float64(8054.0), np.float64(12484.0), np.float64(5867.0), np.float64(23613.0), np.float64(15769.0), np.float64(6599.0), np.float64(2507.0), np.float64(6137.0), np.float64(8697.0)]",148301.0,"[np.float64(5174.0), np.float64(6337.0), np.float64(8300.0), np.float64(4610.0), np.float64(9350.0), np.float64(12016.0), np.float64(6393.0), np.float64(9741.0), np.float64(4818.0), np.float64(18785.0), np.float64(12240.0), np.float64(4730.0), np.float64(1754.0), np.float64(4553.0), np.float64(6917.0)]",115718.0,"[np.float64(nan), np.float64(nan), np.float64(91.0), np.float64(nan), np.float64(2696.0), np.float64(2543.0), np.float64(39.0), np.float64(1126.0), np.float64(1385.0), np.float64(570.0), np.float64(221.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(441.0)]",9112.0,"[np.float64(2766.69), np.float64(3402.08), np.float64(4463.81), np.float64(2468.85), np.float64(6250.1), np.float64(7602.0), np.float64(3424.68), np.float64(5731.16), np.float64(3218.79), np.float64(10277.72), np.float64(6636.84), np.float64(2539.32), np.float64(943.44), np.float64(2437.84), np.float64(3894.3)]",66057.62,30 mph,FL 907,nan,nan
99089384,4608990887,0,11157039,residential,nan,West 21st Street,False,False,10.434792375817832,3561,1495,43.0,0.0,nan,0.10500000417232513,1.0,0.8550000190734863,1.0,0.6599999666213989,1.0,[np.float64(738.0)],738.0,[np.float64(608.0)],608.0,[np.float64(105.0)],105.0,[np.float64(372.98)],372.98,nan,nan,nan,nan
99089384,99254227,0,998328285,residential,nan,West 21st Street,False,True,97.34803922542669,"[8076, 8074, 1092]",733,43.0,0.002,nan,0.24249998728434244,1.0,0.9958333969116211,1.0,0.7958333492279053,1.0,"[np.float64(6457.0), np.float64(700.0), np.float64(616.0)]",7773.0,"[np.float64(5448.0), np.float64(582.0), np.float64(524.0)]",6554.0,"[np.float64(1970.0), np.float64(160.0), np.float64(194.0)]",2324.0,"[np.float64(3826.22), np.float64(385.09), np.float64(370.01)]",4581.32,nan,nan,nan,nan
99089384,4696195671,0,998328286,trunk,2,Alton Road,True,False,158.0544859753842,"[2403, 381, 378, 379, 380, 2397, 2398]",277,48.0,0.003,nan,0.12923077436593863,0.6460766950099244,0.8271428971063524,1.0,0.6290476208641416,1.0,"[np.float64(5728.0), np.float64(8413.0), np.float64(6723.0), np.float64(6667.0), np.float64(9060.0), np.float64(10101.0), np.float64(8312.0)]",55004.0,"[np.float64(4797.0), np.float64(6743.0), np.float64(5524.0), np.float64(5540.0), np.float64(7333.0), np.float64(8253.0), np.float64(6834.0)]",45024.0,"[np.float64(1432.0), np.float64(nan), np.float64(956.0), np.float64(1521.0), np.float64(680.0), np.float64(1020.0), np.float64(1472.0)]",7081.0,"[np.float64(3226.55), np.float64(3590.18), np.float64(3390.17), np.float64(3664.78), np.float64(4224.64), np.float64(4872.77), np.float64(4331.39)]",27300.48,30 mph,FL 907,nan,nan
99089395,4608990878,0,475940203,residential,2,North Michigan Avenue,False,False,10.645859355760185,3553,1492,43.0,0.0,nan,0.10999999940395355,1.0,0.875,1.0,0.6649999618530273,1.0,[np.float64(767.0)],767.0,[np.float64(623.0)],623.0,[np.float64(112.0)],112.0,[np.float64(384.6)],384.6,nan,nan,nan,nan
99089395,99089396,0,129195124,trunk,2,Alton Road,True,False,62.14288434494332,"[6328, 383]",279,48.0,0.001,nan,0.16100000143051146,1.0,0.925,1.0,0.7130000114440918,1.0,"[np.float64(19277.0), np.float64(4026.0)]",23303.0,"[np.float64(15823.0), np.float64(3268.0)]",19091.0,"[np.float64(4177.0), np.float64(542.0)]",4719.0,"[np.float64(10394.77), np.float64(1995.89)]",12390.66,30 mph,FL 907,nan,nan
99089395,99254212,0,398362911,residential,2,North Michigan Avenue,False,True,87.46475037597978,"[4833, 1079, 6333, 2396, 4829, 4831]",728,43.0,0.002,nan,0.23785713740757533,1.0,1.0021429061889648,1.0,0.7899999618530273,1.0,"[np.float64(284.0), np.float64(493.0), np.float64(755.0), np.float64(194.0), np.float64(5074.0), np.float64(198.0)]",6998.0,"[np.float64(255.0), np.float64(438.0), np.float64(618.0), np.float64(162.0), np.float64(4222.0), np.float64(178.0)]",5873.0,"[np.float64(125.0), np.float64(210.0), np.float64(140.0), np.float64(56.0), np.float64(1454.0), np.float64(87.0)]",2072.0,"[np.float64(194.12), np.float64(331.35), np.float64(395.06), np.float64(112.61), np.float64(2932.76), np.float64(135.38)]",4101.28,nan,nan,nan,nan
99089395,4696195671,0,"[424088743, 475940175, 829652247]",trunk,"['4', '2']",Alton Road,True,False,182.17499891851998,"[3673, 2017, 382]",1506,48.0,0.004,nan,0.1315000057220459,0.6458168752258435,0.8425000054495675,1.0,0.6371428625924247,1.0,"[np.float64(5093.0), np.float64(29992.0), np.float64(58132.0)]",93217.0,"[np.float64(4051.0), np.float64(24314.0), np.float64(47635.0)]",76000.0,"[np.float64(nan), np.float64(2218.0), np.float64(11104.0)]",13322.0,"[np.float64(2158.04), np.float64(13988.74), np.float64(30597.68)]",46744.46,30 mph,FL 907,nan,nan
99089396,99357504,0,190675563,trunk_link,1,nan,True,False,67.30073591469274,"[4778, 386, 356]",281,56.0,0.001,nan,0.3059999942779541,1.0,1.0699999809265137,1.0,0.8520000457763672,1.0,"[np.float64(2448.0), np.float64(7580.0), np.float64(3718.0)]",13746.0,"[np.float64(2127.0), np.float64(6565.0), np.float64(3140.0)]",11832.0,"[np.float64(922.0), np.float64(2839.0), np.float64(1230.0)]",4991.0,"[np.float64(1564.26), np.float64(4825.6), np.float64(2250.09)]",8639.95,nan,nan,nan,nan
99089403,4696197046,0,86626743,secondary,4,Dade Boulevard,False,False,15.675926475131737,3691,1513,48.0,0.0,nan,0.8700000047683716,1.0,1.6324999332427979,1.0,1.4175000190734863,1.0,[np.float64(7857.0)],7857.0,[np.float64(7318.0)],7318.0,[np.float64(5618.0)],5618.0,[np.float64(6526.67)],6526.67,30 mph,nan,nan,nan
99089403,1365031856,0,122083075,trunk,2,Alton Road,True,False,33.275901924692846,"[3680, 390]",284,56.0,0.001,nan,0.6400000254313151,0.5210519218266324,1.124000072479248,1.0,0.9059999465942383,1.0,"[np.float64(7416.0), np.float64(5765.0)]",13181.0,"[np.float64(5969.0), np.float64(5335.0)]",11304.0,"[np.float64(994.0), np.float64(3531.0)]",4525.0,"[np.float64(3649.28), np.float64(4491.0)]",8140.28,35 mph,FL 907,nan,nan
99089403,99089409,0,"[586763184, 475940197, 586763183]",trunk,"['3', '2']",Alton Road,True,False,153.94762899897756,"[393, 4137, 4142, 4143, 3698, 2073, 3679]",287,32.0,0.005,yes,0.47181818702004175,0.6667289902792741,1.0231249332427979,1.0,0.8075000047683716,1.0,"[np.float64(10152.0), np.float64(6360.0), np.float64(8221.0), np.float64(4927.0), np.float64(48534.0), np.float64(3576.0), np.float64(1221.0)]",82991.0,"[np.float64(8282.0), np.float64(5931.0), np.float64(7680.0), np.float64(4593.0), np.float64(38144.0), np.float64(3323.0), np.float64(1139.0)]",69092.0,"[np.float64(2071.0), np.float64(4673.0), np.float64(6295.0), np.float64(3729.0), np.float64(7030.0), np.float64(2419.0), np.float64(911.0)]",27128.0,"[np.float64(5387.88), np.float64(5346.32), np.float64(7038.36), np.float64(4192.62), np.float64(23676.55), np.float64(2901.19), np.float64(1033.16)]",49576.08,20 mph,FL 907,nan,nan
99089409,7134733381,0,"[1329290753, 763515810, 190675420, 1136440714]",trunk,"['5', '6']",Alton Road,False,True,178.8446755921782,"[3740, 6278, 4156, 3922, 4247, 4250, 4252, 4158]",1542,51.0,0.004,nan,0.15999999913302335,0.601177931371025,0.8361110687255859,1.0,0.6216666433546278,1.0,"[np.float64(31931.0), np.float64(9855.0), np.float64(20346.0), np.float64(18772.0), np.float64(34983.0), np.float64(12822.0), np.float64(5272.0), np.float64(20369.0)]",154350.0,"[np.float64(24203.0), np.float64(8166.0), np.float64(16365.0), np.float64(15509.0), np.float64(28629.0), np.float64(9064.0), np.float64(4166.0), np.float64(16493.0)]",122595.0,"[np.float64(nan), np.float64(2595.0), np.float64(1881.0), np.float64(5195.0), np.float64(7778.0), np.float64(nan), np.float64(nan), np.float64(3109.0)]",20558.0,"[np.float64(12938.42), np.float64(5570.44), np.float64(9604.53), np.float64(10707.74), np.float64(18915.4), np.float64(4871.34), np.float64(2220.33), np.float64(10251.88)]",75080.08,nan,FL 907,nan,nan
99089409,4696197038,0,"[586763181, 586763182, 1051223199]",trunk,"['3', '2']",Alton Road,True,False,116.03937044575488,"[3681, 5667, 4141, 3695, 7599]",1509,56.0,0.002,yes,0.27222222752041286,0.6466416377019422,0.833571365901402,1.0,0.6207143238612584,1.0,"[np.float64(682.0), np.float64(12290.0), np.float64(3544.0), np.float64(11475.0), np.float64(28169.0)]",56160.0,"[np.float64(636.0), np.float64(6959.0), np.float64(3267.0), np.float64(9543.0), np.float64(22722.0)]",43127.0,"[np.float64(491.0), np.float64(505.0), np.float64(1894.0), np.float64(3277.0), np.float64(5238.0)]",11405.0,"[np.float64(568.5), np.float64(4053.28), np.float64(2623.14), np.float64(6624.61), np.float64(14580.51)]",28450.04,35 mph,FL 907,nan,nan
99089417,99373620,0,425091753,residential,2,16th Street,False,False,122.94845383709513,"[1506, 2268, 6269]",993,43.0,0.003,nan,0.29285713604518343,1.0,1.060000010899135,1.0,0.8464285986764091,1.0,"[np.float64(4907.0), np.float64(4074.0), np.float64(1061.0)]",10042.0,"[np.float64(4265.0), np.float64(3497.0), np.float64(872.0)]",8634.0,"[np.float64(1813.0), np.float64(1436.0), np.float64(224.0)]",3473.0,"[np.float64(3119.56), np.float64(2535.33), np.float64(569.87)]",6224.76,nan,nan,nan,nan
99089417,1425902554,0,"[1307200699, 855875286]",trunk,"['4', '5']",Alton Road,False,True,79.80903076096637,"[6272, 4277, 2014]",1160,51.0,0.002,nan,0.19555555449591744,1.0,0.9622222052680122,1.0,0.7466666963365343,1.0,"[np.float64(7380.0), np.float64(40356.0), np.float64(24050.0)]",71786.0,"[np.float64(6006.0), np.float64(33312.0), np.float64(19780.0)]",59098.0,"[np.float64(1342.0), np.float64(10369.0), np.float64(6037.0)]",17748.0,"[np.float64(3831.82), np.float64(22625.39), np.float64(13380.18)]",39837.39,nan,FL 907,nan,nan
99089417,99355561,0,"[83069596, 855875287]",residential,2,16th Street,False,True,242.00046289705466,"[6274, 6972, 1515, 3896, 1459, 3892, 3894, 6264, 6266, 6268, 922]",955,43.0,0.006,nan,0.23499999727521623,0.9617491749704136,0.9910344748661436,1.0,0.7724137799493198,1.0,"[np.float64(976.0), np.float64(7897.0), np.float64(827.0), np.float64(370.0), np.float64(680.0), np.float64(1035.0), np.float64(1916.0), np.float64(3675.0), np.float64(838.0), np.float64(274.0), np.float64(579.0)]",19067.0,"[np.float64(794.0), np.float64(6629.0), np.float64(689.0), np.float64(304.0), np.float64(579.0), np.float64(849.0), np.float64(1597.0), np.float64(3006.0), np.float64(683.0), np.float64(243.0), np.float64(461.0)]",15834.0,"[np.float64(166.0), np.float64(2540.0), np.float64(246.0), np.float64(98.0), np.float64(235.0), np.float64(234.0), np.float64(570.0), np.float64(920.0), np.float64(190.0), np.float64(117.0), np.float64(11.0)]",5327.0,"[np.float64(501.16), np.float64(4724.76), np.float64(482.72), np.float64(208.13), np.float64(418.63), np.float64(562.45), np.float64(1118.75), np.float64(2035.22), np.float64(453.48), np.float64(184.08), np.float64(250.79)]",10940.17,nan,nan,nan,nan
99089417,7134733371,0,1202386118,trunk,5,Alton Road,False,False,54.48413395747748,"[4386, 6275, 4244]",1538,51.0,0.001,nan,0.0840000033378601,0.8291431293678655,0.8400000731150309,1.0,0.6233333746592203,1.0,"[np.float64(8387.0), np.float64(12069.0), np.float64(27112.0)]",47568.0,"[np.float64(6717.0), np.float64(9752.0), np.float64(21627.0)]",38096.0,"[np.float64(968.0), np.float64(1697.0), np.float64(1866.0)]",4531.0,"[np.float64(4036.32), np.float64(5995.38), np.float64(12405.08)]",22436.78,nan,FL 907,nan,nan
99089421,4244192760,0,425091535,residential,nan,15th Street,False,False,123.11266201774782,"[5527, 2050, 3883, 3885, 3022, 3889, 5495]",1392,43.0,0.003,nan,0.14785713808877127,1.0,0.9149998937334333,1.0,0.7014285496303013,1.0,"[np.float64(1046.0), np.float64(2835.0), np.float64(1635.0), np.float64(1139.0), np.float64(761.0), np.float64(819.0), np.float64(954.0)]",9189.0,"[np.float64(844.0), np.float64(2317.0), np.float64(1340.0), np.float64(939.0), np.float64(625.0), np.float64(661.0), np.float64(781.0)]",7507.0,"[np.float64(165.0), np.float64(552.0), np.float64(323.0), np.float64(257.0), np.float64(155.0), np.float64(134.0), np.float64(185.0)]",1771.0,"[np.float64(527.54), np.float64(1494.16), np.float64(865.78), np.float64(621.05), np.float64(405.83), np.float64(415.42), np.float64(503.09)]",4832.87,nan,nan,nan,nan
99089421,1425902554,0,"[1305040256, 1305040257, 1309291322, 731013870]",trunk,"['4', '5']",Alton Road,False,False,95.15556623905401,"[4388, 7589, 7535, 3888, 5531, 2013]",1159,56.0,0.002,nan,0.13700000047683716,1.0,0.9059999465942383,1.0,0.6880000114440918,1.0,"[np.float64(5103.0), np.float64(15370.0), np.float64(17913.0), np.float64(11266.0), np.float64(14723.0), np.float64(16352.0)]",80727.0,"[np.float64(4118.0), np.float64(12488.0), np.float64(14495.0), np.float64(9165.0), np.float64(11933.0), np.float64(13321.0)]",65520.0,"[np.float64(806.0), np.float64(3013.0), np.float64(2828.0), np.float64(2291.0), np.float64(2447.0), np.float64(2960.0)]",14345.0,"[np.float64(2574.35), np.float64(8073.83), np.float64(9055.72), np.float64(5962.88), np.float64(7510.85), np.float64(8490.46)]",41668.09,35 mph,FL 907,nan,nan
99089421,5446030994,0,"[1307189193, 1307189194, 1234549852]",trunk,"['4', '5']",Alton Road,False,True,66.65795112633523,"[6886, 3882, 7570, 5530, 7614]",1521,56.0,0.001,nan,0.2271428448813302,1.0,0.9942857197352818,1.0,0.778571469443185,1.0,"[np.float64(21708.0), np.float64(1613.0), np.float64(22682.0), np.float64(10364.0), np.float64(7380.0)]",63747.0,"[np.float64(17804.0), np.float64(1364.0), np.float64(19331.0), np.float64(8399.0), np.float64(6276.0)]",53174.0,"[np.float64(5412.0), np.float64(516.0), np.float64(7561.0), np.float64(1876.0), np.float64(2441.0)]",17806.0,"[np.float64(12034.92), np.float64(968.67), np.float64(13840.78), np.float64(5359.52), np.float64(4487.5)]",36691.39,35 mph,FL 907,nan,nan
99089423,99120822,0,586288834,residential,nan,14th Street,True,False,123.67155263639668,"[6241, 402, 641, 6242]",296,43.0,0.003,nan,0.42666667302449546,1.0,1.1879999796549479,1.0,0.9753334045410156,1.0,"[np.float64(4531.0), np.float64(1025.0), np.float64(4167.0), np.float64(916.0)]",10639.0,"[np.float64(4167.0), np.float64(897.0), np.float64(3812.0), np.float64(829.0)]",9705.0,"[np.float64(2227.0), np.float64(397.0), np.float64(2009.0), np.float64(433.0)]",5066.0,"[np.float64(3256.42), np.float64(663.34), np.float64(2966.22), np.float64(643.51)]",7529.49,nan,nan,nan,nan
99089423,99120818,0,586288838,residential,nan,14th Street,False,True,123.5040687606681,"[640, 2531, 5486, 6958, 5488]",434,43.0,0.003,nan,0.3164285591670445,1.0,1.0764285496303014,1.0,0.8678571837288993,1.0,"[np.float64(865.0), np.float64(3928.0), np.float64(4119.0), np.float64(297.0), np.float64(1004.0)]",10213.0,"[np.float64(770.0), np.float64(3435.0), np.float64(3575.0), np.float64(259.0), np.float64(856.0)]",8895.0,"[np.float64(365.0), np.float64(1508.0), np.float64(1519.0), np.float64(114.0), np.float64(337.0)]",3843.0,"[np.float64(580.48), np.float64(2534.46), np.float64(2614.72), np.float64(191.26), np.float64(613.92)]",6534.84,nan,nan,nan,nan
99089423,7571760072,0,"[778199200, 778199201, 1307171594]",trunk,"['4', '5']",Alton Road,False,True,120.11871745847841,"[3845, 3846, 4392, 7566, 4302, 7477]",1548,56.0,0.002,nan,0.22692309893094575,1.0,0.9869230710543119,1.0,0.7769230329073392,1.0,"[np.float64(43639.0), np.float64(15120.0), np.float64(5455.0), np.float64(8807.0), np.float64(27959.0), np.float64(12127.0)]",113107.0,"[np.float64(37346.0), np.float64(12674.0), np.float64(4446.0), np.float64(7297.0), np.float64(22951.0), np.float64(10074.0)]",94788.0,"[np.float64(14979.0), np.float64(4572.0), np.float64(901.0), np.float64(2319.0), np.float64(5812.0), np.float64(3374.0)]",31957.0,"[np.float64(26910.46), np.float64(8898.93), np.float64(2792.4), np.float64(4977.75), np.float64(14960.22), np.float64(6953.09)]",65492.85,35 mph,FL 907,nan,nan
