u,v,key,osmid,highway,lanes,name,oneway,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP1_me,RP1_fr,RP100_me,RP100_fr,RP20_me,RP20_fr,dam_RP100_al_segments,dam_RP100_al,dam_RP20_al_segments,dam_RP20_al,dam_RP1_al_segments,dam_RP1_al,maxspeed,ref,access,junction
99010517,4316691305,0,1469368086,secondary,2,Pine Tree Drive,True,False,35.66530547352015,"[5368, 113, 3659]",1641,48.0,0.001,nan,,0.0,0.06499999761581421,0.731235307402099,,0.0,"[np.float64(138.0), np.float64(174.0), np.float64(127.0)]",439.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,30 mph,nan,nan,nan
99010517,4316815473,0,447043495,secondary_link,1,nan,True,False,18.927808963182148,"[7840, 3718, 3822, 3823, 3824, 7839]",1655,40.0,0.0,nan,,0.0,,0.0,,0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010519,99010522,0,11107091,residential,nan,nan,True,False,28.12225083005442,"[3720, 29, 3717]",9,43.0,0.001,nan,,0.0,0.11500000208616257,0.42071062538842086,,0.0,"[np.float64(16.0), np.float64(nan), np.float64(111.0)]",127.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010519,4316691305,0,432722807,residential,nan,nan,True,False,24.62767884895381,"[3716, 3655, 3656, 3657, 3660]",1639,43.0,0.001,nan,,0.0,0.06666666766007741,0.8819342792453696,,0.0,"[np.float64(30.0), np.float64(14.0), np.float64(21.0), np.float64(31.0), np.float64(30.0)]",126.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010519,4316705867,0,11107091,residential,nan,nan,True,False,28.760441930251773,"[3654, 3825, 3694]",1647,43.0,0.001,nan,,0.0,0.07000000029802322,0.38755102352926063,,0.0,"[np.float64(18.0), np.float64(40.0), np.float64(nan)]",58.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010522,99068170,0,432722806,residential,2,Flamingo Drive,True,False,55.33087619789461,"[2480, 30, 7831]",10,43.0,0.001,nan,,0.0,0.125,0.3937734952459387,,0.0,"[np.float64(nan), np.float64(262.0), np.float64(nan)]",262.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99010522,99094836,0,1194205709,residential,2,Flamingo Drive,False,False,335.7382756347262,"[3648, 513, 4449, 515, 517, 3590, 519, 2664, 3593, 521, 2475, 2477, 3631, 3644, 511]",357,43.0,0.008,nan,,0.0,0.33324326695622625,0.9605974131435275,0.2036842045031096,0.49726216226173736,"[np.float64(583.0), np.float64(2018.0), np.float64(123.0), np.float64(1745.0), np.float64(1168.0), np.float64(1076.0), np.float64(197.0), np.float64(541.0), np.float64(354.0), np.float64(109.0), np.float64(1050.0), np.float64(253.0), np.float64(137.0), np.float64(343.0), np.float64(597.0)]",10294.0,"[np.float64(252.0), np.float64(1115.0), np.float64(nan), np.float64(690.0), np.float64(190.0), np.float64(564.0), np.float64(nan), np.float64(252.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(230.0)]",3293.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan,nan,nan
99011357,99148122,0,11135317,residential,nan,Barry Street,False,False,89.04059944012131,"[829, 3950, 5615, 5617, 8253]",579,43.0,0.002,nan,0.14888887935214573,0.7895389510662992,0.9563636779785156,1.0,0.7163636901161887,1.0,"[np.float64(679.0), np.float64(2913.0), np.float64(273.0), np.float64(1041.0), np.float64(1924.0)]",6830.0,"[np.float64(545.0), np.float64(2336.0), np.float64(225.0), np.float64(830.0), np.float64(1530.0)]",5466.0,"[np.float64(117.0), np.float64(464.0), np.float64(63.0), np.float64(126.0), np.float64(233.0)]",1003.0,nan,nan,nan,nan
99011357,604127434,0,"[47471661, 680642390]",primary,1,Alton Road,True,False,89.89106392459472,"[33, 8867, 5576, 5577, 4942, 1976, 1977, 3898, 8635, 8636, 3901]",13,48.0,0.002,nan,0.0700000027815501,0.23043585883851933,0.7300000190734863,1.0,0.49285711560930523,1.0,"[np.float64(780.0), np.float64(993.0), np.float64(1127.0), np.float64(478.0), np.float64(1205.0), np.float64(1379.0), np.float64(2013.0), np.float64(1293.0), np.float64(383.0), np.float64(523.0), np.float64(3835.0)]",14009.0,"[np.float64(616.0), np.float64(787.0), np.float64(854.0), np.float64(255.0), np.float64(880.0), np.float64(1072.0), np.float64(1186.0), np.float64(993.0), np.float64(204.0), np.float64(354.0), np.float64(3015.0)]",10216.0,"[np.float64(62.0), np.float64(97.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(198.0)]",357.0,30 mph,FL 907A,nan,nan
99011357,604127517,0,"[810825237, 419830502]",primary,4,Alton Road,False,False,85.40861120661296,"[4928, 4423, 8683, 1973, 1974]",1231,48.0,0.002,nan,0.10699999332427979,1.0,0.9390000343322754,1.0,0.7010000705718994,1.0,"[np.float64(31506.0), np.float64(15916.0), np.float64(4604.0), np.float64(5810.0), np.float64(7170.0)]",65006.0,"[np.float64(25133.0), np.float64(12631.0), np.float64(3760.0), np.float64(4776.0), np.float64(5811.0)]",52111.0,"[np.float64(3877.0), np.float64(1388.0), np.float64(963.0), np.float64(1309.0), np.float64(1344.0)]",8881.0,30 mph,FL 907A,nan,nan
