,road_types,avg_speed
0,motorway_link,99.8
1,secondary,58.3
2,primary,50.0
3,"['motorway', 'motorway_link']",100.0
4,motorway,100.0
5,secondary_link,50.0
6,trunk_link,80.0
7,trunk,84.5
