,road_types,avg_speed
0,"['primary', 'primary_link']",72.2
1,"['motorway_link', 'primary']",95.5
2,primary,72.2
3,"['motorway', 'motorway_link']",98.7
4,motorway,98.7
5,"['motorway', 'primary']",98.7
6,motorway_link,95.5
7,primary_link,67.3
