,road_types,avg_speed
0,trunk_link,80.0
1,"['motorway_link', 'motorway']",100.2
2,tertiary,53.5
3,motorway,100.0
4,primary,50.0
5,motorway_link,100.2
6,"['motorway_link', 'tertiary']",100.2
7,trunk,84.5
8,secondary_link,50.0
9,secondary,57.9
