o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
5736378297,4063782840,O_1014,D_7,7503.0,0,special,EV1_ma,,
5736378298,4063782840,O_895,D_7,7425.0,0,special,EV1_ma,,
5736378310,4063782840,"O_1446,O_1500",D_7,7925.0,0,special,EV1_ma,,
5736381035,4063782840,O_1234,D_7,5739.0,0,special,EV1_ma,,
5736540437,4063782840,O_1272,D_7,4230.0,0,special,EV1_ma,,
5736540469,4063782840,O_1227,D_7,4179.0,0,special,EV1_ma,,
5736540475,4063782840,O_1185,D_7,3984.0,0,special,EV1_ma,,
5736540476,4063782840,O_931,D_7,5160.0,0,special,EV1_ma,,
5736540501,4063782840,O_1096,D_7,4269.0,0,special,EV1_ma,,
5736659024,4063782840,O_799,D_7,6204.0,0,special,EV1_ma,,
5736804079,4063782840,O_1323,D_7,3350.0,0,special,EV1_ma,,
5736966190,4063782840,O_1585,D_7,2168.0,0,special,EV1_ma,,
5738997477,4063782840,O_1102,D_7,6297.0,0,special,EV1_ma,,
5739064895,4063782840,O_1187,D_7,4490.0,0,special,EV1_ma,,
5739065521,4063782840,O_1103,D_7,6869.0,0,special,EV1_ma,,
5739169835,4063782840,O_719,D_7,6242.0,0,special,EV1_ma,,
5739169899,4063782840,"O_1383,O_1439",D_7,4789.0,0,special,EV1_ma,,
5739169901,4063782840,O_1329,D_7,4993.0,0,special,EV1_ma,,
5739169909,4063782840,"O_1328,O_1384",D_7,4961.0,0,special,EV1_ma,,
5739169914,4063782840,O_1646,D_7,726.0,0,special,EV1_ma,726.0,0.0
5749767469,4063782840,"O_1335,O_1336",D_7,7621.0,0,special,EV1_ma,,
5749767471,4063782840,O_1193,D_7,6174.0,0,special,EV1_ma,,
5749767517,4063782840,O_211,D_7,10749.0,0,special,EV1_ma,,
13426689483,4063782840,"O_22,O_39",D_7,13297.0,0,special,EV1_ma,,
13426689484,4063782840,O_29,D_7,13263.0,0,special,EV1_ma,,
13426689485,4063782840,O_30,D_7,13387.0,0,special,EV1_ma,,
13426689486,4063782840,O_37,D_7,13021.0,0,special,EV1_ma,,
13426689487,4063782840,O_38,D_7,13126.0,0,special,EV1_ma,,
13426689488,4063782840,O_40,D_7,13479.0,0,special,EV1_ma,,
13426689489,4063782840,"O_45,O_57",D_7,13084.0,0,special,EV1_ma,,
13426689490,4063782840,O_46,D_7,12976.0,0,special,EV1_ma,,
13426689491,4063782840,O_47,D_7,12919.0,0,special,EV1_ma,,
13426689492,4063782840,O_48,D_7,12904.0,0,special,EV1_ma,,
13426689493,4063782840,O_49,D_7,13042.0,0,special,EV1_ma,,
13426689494,4063782840,O_50,D_7,13220.0,0,special,EV1_ma,,
13426689495,4063782840,O_56,D_7,13094.0,0,special,EV1_ma,,
13426689496,4063782840,O_58,D_7,12855.0,0,special,EV1_ma,,
13426689497,4063782840,O_59,D_7,12801.0,0,special,EV1_ma,,
13426689498,4063782840,O_60,D_7,12679.0,0,special,EV1_ma,,
13426689499,4063782840,O_61,D_7,12884.0,0,special,EV1_ma,,
13426689500,4063782840,O_62,D_7,13056.0,0,special,EV1_ma,,
13426689504,4063782840,O_69,D_7,13241.0,0,special,EV1_ma,,
13426689505,4063782840,O_70,D_7,13081.0,0,special,EV1_ma,,
13426689506,4063782840,O_71,D_7,12572.0,0,special,EV1_ma,,
13426689507,4063782840,O_72,D_7,12487.0,0,special,EV1_ma,,
13426689508,4063782840,O_73,D_7,12578.0,0,special,EV1_ma,,
