u,v,link_id,ID,highway,avgspeed,lanes,length_x,maxspeed,bridge,node_A,node_B,edge_fid,rfid_c,rfid,time,EV1_mi,EV1_fr,alt_length,alt_nodes,diff_length,connected,length_y,hazard
770,772,None,None,residential,60.0,nan,32.0,nan,nan,770,772,770_772,1322,2389,0.001,0.25707340240478516,1.0,,nan,,nan,,EV1_mi
770,771,None,None,residential,60.0,nan,204.0,nan,nan,770,771,770_771,1323,2388,0.003,0.07196736335754395,1.0,,nan,,nan,,EV1_mi
773,779,None,None,residential,60.0,nan,45.0,nan,nan,773,779,773_779,1324,2407,0.001,0.0,0.0,,nan,,nan,,EV1_mi
773,780,None,None,residential,60.0,nan,58.0,nan,nan,773,780,773_780,1325,2410,0.001,0.05917000770568848,0.3420411300606828,,nan,,nan,,EV1_mi
773,781,None,None,residential,60.0,nan,262.0,nan,nan,773,781,773_781,1326,2411,0.004,0.0,0.0,,nan,,nan,,EV1_mi
774,788,None,None,residential,60.0,nan,52.0,nan,nan,774,788,774_788,1327,2431,0.001,0.3001728057861328,1.0,538.0,"[774, 767, 773, 779, 792, 794, 805, 788]",486.0,1,52.0,EV1_mi
775,781,None,None,residential,60.0,nan,51.0,nan,nan,775,781,775_781,1328,2412,0.001,0.0,0.0,,nan,,nan,,EV1_mi
775,1107,None,None,residential,60.0,nan,75.0,nan,nan,775,1107,775_1107,1329,3301,0.001,0.0,0.0,,nan,,nan,,EV1_mi
776,777,None,None,residential,60.0,nan,103.0,nan,nan,776,777,776_777,1330,2402,0.002,0.09125399589538574,0.03448533985898071,,nan,,nan,,EV1_mi
777,785,None,None,residential,60.0,nan,43.0,nan,nan,777,785,777_785,1331,2419,0.001,0.0,0.0,,nan,,nan,,EV1_mi
777,786,None,None,residential,60.0,nan,48.0,nan,nan,777,786,777_786,1332,2423,0.001,0.0,0.0,,nan,,nan,,EV1_mi
777,787,None,None,residential,60.0,nan,265.0,nan,nan,777,787,777_787,1333,2426,0.004,0.0,0.0,,nan,,nan,,EV1_mi
779,1109,None,None,residential,60.0,nan,359.0,nan,nan,779,1109,779_1109,1334,3303,0.006,0.0,0.0,,nan,,nan,,EV1_mi
779,792,None,None,residential,60.0,nan,53.0,nan,nan,779,792,779_792,1335,2441,0.001,0.0,0.0,,nan,,nan,,EV1_mi
781,1108,None,None,residential,60.0,nan,63.0,nan,nan,781,1108,781_1108,1336,3302,0.001,0.0,0.0,,nan,,nan,,EV1_mi
782,783,None,None,residential,60.0,nan,357.0,nan,nan,782,783,782_783,1337,2417,0.006,0.051851749420166016,0.6837399428061415,,nan,,nan,,EV1_mi
782,1135,None,None,residential,60.0,2,103.0,60,nan,782,1135,782_1135,1338,3379,0.002,0.0,0.0,,nan,,nan,,EV1_mi
782,857,None,None,residential,60.0,2,15.0,60,nan,782,857,782_857,1339,2636,0.0,0.0,0.0,,nan,,nan,,EV1_mi
784,785,None,None,residential,60.0,nan,100.0,nan,nan,784,785,784_785,1340,2420,0.002,0.060925960540771484,0.105245104222507,,nan,,nan,,EV1_mi
785,790,None,None,residential,60.0,nan,46.0,nan,nan,785,790,785_790,1341,2434,0.001,0.0,0.0,,nan,,nan,,EV1_mi
785,791,None,None,residential,60.0,nan,265.0,nan,nan,785,791,785_791,1342,2438,0.004,0.0,0.0,,nan,,nan,,EV1_mi
786,800,None,None,residential,60.0,nan,8.0,nan,nan,786,800,786_800,1343,2468,0.0,0.0,0.0,,nan,,nan,,EV1_mi
786,1115,None,None,residential,60.0,nan,106.0,nan,nan,786,1115,786_1115,1344,3320,0.002,0.12224936485290527,0.10565782490996833,,nan,,nan,,EV1_mi
787,791,None,None,residential,60.0,nan,44.0,nan,nan,787,791,787_791,1345,2439,0.001,0.0,0.0,,nan,,nan,,EV1_mi
787,803,None,None,residential,60.0,nan,123.0,nan,nan,787,803,787_803,1346,2478,0.002,0.0,0.0,,nan,,nan,,EV1_mi
787,793,None,None,residential,60.0,nan,48.0,nan,nan,787,793,787_793,1347,2445,0.001,0.0,0.0,,nan,,nan,,EV1_mi
788,805,None,None,residential,60.0,nan,47.0,nan,nan,788,805,788_805,1348,2485,0.001,0.07176423072814941,1.0,,nan,,nan,,EV1_mi
789,790,None,None,residential,60.0,nan,98.0,nan,nan,789,790,789_790,1349,2435,0.002,0.10280036926269531,0.19973874851978263,,nan,,nan,,EV1_mi
790,796,None,None,residential,60.0,nan,44.0,nan,nan,790,796,790_796,1350,2456,0.001,0.0,0.0,,nan,,nan,,EV1_mi
790,797,None,None,residential,60.0,nan,265.0,nan,nan,790,797,790_797,1351,2460,0.004,0.0,0.0,,nan,,nan,,EV1_mi
791,797,None,None,residential,60.0,nan,47.0,nan,nan,791,797,791_797,1352,2461,0.001,0.0,0.0,,nan,,nan,,EV1_mi
792,793,None,None,residential,60.0,nan,43.0,nan,nan,792,793,792_793,1353,2446,0.001,0.0,0.0,,nan,,nan,,EV1_mi
792,794,None,None,residential,60.0,nan,150.0,nan,nan,792,794,792_794,1354,2449,0.003,0.0,0.0,,nan,,nan,,EV1_mi
792,795,None,None,residential,60.0,nan,263.0,nan,nan,792,795,792_795,1355,2453,0.004,0.0682070255279541,0.12818490829156715,,nan,,nan,,EV1_mi
793,799,None,None,residential,60.0,nan,152.0,nan,nan,793,799,793_799,1356,2464,0.003,0.0,0.0,,nan,,nan,,EV1_mi
793,800,None,None,residential,60.0,nan,259.0,nan,nan,793,800,793_800,1357,2469,0.004,0.0,0.0,,nan,,nan,,EV1_mi
794,804,None,None,residential,60.0,nan,110.0,nan,nan,794,804,794_804,1358,2481,0.002,0.0,0.0,,nan,,nan,,EV1_mi
794,799,None,None,residential,60.0,nan,44.0,nan,nan,794,799,794_799,1359,2465,0.001,0.0,0.0,,nan,,nan,,EV1_mi
794,805,None,None,residential,60.0,nan,48.0,nan,nan,794,805,794_805,1360,2486,0.001,0.07176423072814941,0.03741837898898077,,nan,,nan,,EV1_mi
795,1352,None,None,residential,60.0,nan,114.0,nan,nan,795,1352,795_1352,1361,3905,0.002,0.08269667625427246,0.5752807930699619,,nan,,nan,,EV1_mi
795,800,None,None,residential,60.0,nan,47.0,nan,nan,795,800,795_800,1362,2470,0.001,0.0,0.0,,nan,,nan,,EV1_mi
796,801,None,None,residential,60.0,nan,48.0,nan,nan,796,801,796_801,1363,2471,0.001,0.0,0.0,,nan,,nan,,EV1_mi
796,798,None,None,residential,60.0,nan,97.0,nan,nan,796,798,796_798,1364,2463,0.002,0.052572011947631836,0.3056101241836802,,nan,,nan,,EV1_mi
796,802,None,None,residential,60.0,nan,266.0,nan,nan,796,802,796_802,1365,2475,0.004,0.0,0.0,,nan,,nan,,EV1_mi
797,802,None,None,residential,60.0,nan,39.0,nan,nan,797,802,797_802,1366,2476,0.001,0.0,0.0,,nan,,nan,,EV1_mi
799,810,None,None,residential,60.0,nan,110.0,nan,nan,799,810,799_810,1367,2498,0.002,0.0,0.0,,nan,,nan,,EV1_mi
799,811,None,None,residential,60.0,nan,47.0,nan,nan,799,811,799_811,1368,2501,0.001,0.0,0.0,,nan,,nan,,EV1_mi
801,806,None,None,residential,60.0,nan,49.0,nan,nan,801,806,801_806,1369,2490,0.001,0.0,0.0,,nan,,nan,,EV1_mi
801,807,None,None,residential,60.0,nan,290.0,nan,nan,801,807,801_807,1370,2493,0.005,0.0,0.0,,nan,,nan,,EV1_mi
801,808,None,None,residential,60.0,nan,94.0,nan,nan,801,808,801_808,1371,2496,0.002,0.05003714561462402,0.5904841767947377,,nan,,nan,,EV1_mi
802,818,None,None,residential,60.0,nan,56.0,nan,nan,802,818,802_818,1372,2523,0.001,0.0,0.0,,nan,,nan,,EV1_mi
803,815,None,None,residential,60.0,nan,46.0,nan,nan,803,815,803_815,1373,2513,0.001,0.0,0.0,,nan,,nan,,EV1_mi
803,811,None,None,residential,60.0,nan,29.0,nan,nan,803,811,803_811,1374,2502,0.0,0.0,0.0,,nan,,nan,,EV1_mi
804,813,None,None,residential,60.0,nan,50.0,nan,nan,804,813,804_813,1375,2508,0.001,0.0,0.0,,nan,,nan,,EV1_mi
804,810,None,None,residential,60.0,nan,44.0,nan,nan,804,810,804_810,1376,2499,0.001,0.0,0.0,,nan,,nan,,EV1_mi
804,814,None,None,residential,60.0,nan,107.0,nan,nan,804,814,804_814,1377,2510,0.002,0.0,0.0,,nan,,nan,,EV1_mi
805,813,None,None,residential,60.0,nan,112.0,nan,nan,805,813,805_813,1378,2509,0.002,0.05583786964416504,0.6386876555393884,,nan,,nan,,EV1_mi
805,1378,None,None,residential,60.0,nan,72.0,nan,nan,805,1378,805_1378,1379,3954,0.001,0.05501198768615723,0.5754001746941737,,nan,,nan,,EV1_mi
806,809,None,None,residential,60.0,nan,54.0,nan,nan,806,809,806_809,1380,2497,0.001,0.0,0.0,,nan,,nan,,EV1_mi
806,812,None,None,residential,60.0,nan,265.0,nan,nan,806,812,806_812,1381,2505,0.004,0.0,0.0,,nan,,nan,,EV1_mi
807,812,None,None,residential,60.0,nan,34.0,nan,nan,807,812,807_812,1382,2506,0.001,0.0,0.0,,nan,,nan,,EV1_mi
807,818,None,None,residential,60.0,nan,47.0,nan,nan,807,818,807_818,1383,2524,0.001,0.0,0.0,,nan,,nan,,EV1_mi
810,816,None,None,residential,60.0,nan,47.0,nan,nan,810,816,810_816,1384,2516,0.001,0.0,0.0,,nan,,nan,,EV1_mi
811,816,None,None,residential,60.0,nan,111.0,nan,nan,811,816,811_816,1385,2517,0.002,0.0,0.0,,nan,,nan,,EV1_mi
814,865,None,None,residential,60.0,nan,128.0,nan,nan,814,865,814_865,1386,2661,0.002,0.0,0.0,,nan,,nan,,EV1_mi
814,819,None,None,residential,60.0,nan,32.0,nan,nan,814,819,814_819,1387,2527,0.001,0.0,0.0,,nan,,nan,,EV1_mi
815,817,None,None,residential,60.0,nan,63.0,nan,nan,815,817,815_817,1388,2520,0.001,0.0,0.0,,nan,,nan,,EV1_mi
815,818,None,None,residential,60.0,nan,178.0,nan,nan,815,818,815_818,1389,2525,0.003,0.0,0.0,,nan,,nan,,EV1_mi
816,819,None,None,residential,60.0,nan,51.0,nan,nan,816,819,816_819,1390,2528,0.001,0.0,0.0,,nan,,nan,,EV1_mi
816,817,None,None,residential,60.0,nan,91.0,nan,nan,816,817,816_817,1391,2521,0.002,0.0,0.0,,nan,,nan,,EV1_mi
817,822,None,None,residential,60.0,nan,68.0,nan,nan,817,822,817_822,1392,2536,0.001,0.0,0.0,,nan,,nan,,EV1_mi
818,821,None,None,residential,60.0,nan,62.0,nan,nan,818,821,818_821,1393,2533,0.001,0.0,0.0,,nan,,nan,,EV1_mi
819,820,None,None,residential,60.0,nan,23.0,nan,nan,819,820,819_820,1394,2530,0.0,0.0,0.0,,nan,,nan,,EV1_mi
820,867,None,None,residential,60.0,nan,127.0,nan,nan,820,867,820_867,1395,2668,0.002,0.0,0.0,,nan,,nan,,EV1_mi
820,826,None,None,residential,60.0,nan,18.0,nan,nan,820,826,820_826,1396,2548,0.0,0.0,0.0,,nan,,nan,,EV1_mi
821,822,None,None,residential,60.0,nan,111.0,nan,nan,821,822,821_822,1397,2537,0.002,0.0,0.0,,nan,,nan,,EV1_mi
821,828,None,None,residential,60.0,nan,24.0,nan,nan,821,828,821_828,1398,2555,0.0,0.0,0.0,,nan,,nan,,EV1_mi
822,823,None,None,residential,60.0,nan,6.0,nan,nan,822,823,822_823,1399,2539,0.0,0.0,0.0,,nan,,nan,,EV1_mi
823,824,None,None,residential,60.0,nan,94.0,nan,nan,823,824,823_824,1400,2542,0.002,0.0,0.0,,nan,,nan,,EV1_mi
823,825,None,None,residential,60.0,nan,44.0,nan,nan,823,825,823_825,1401,2545,0.001,0.0,0.0,,nan,,nan,,EV1_mi
824,826,None,None,residential,60.0,nan,119.0,nan,nan,824,826,824_826,1402,2549,0.002,0.0,0.0,,nan,,nan,,EV1_mi
824,830,None,None,residential,60.0,nan,43.0,nan,nan,824,830,824_830,1403,2560,0.001,0.0,0.0,,nan,,nan,,EV1_mi
825,830,None,None,residential,60.0,nan,84.0,nan,nan,825,830,825_830,1404,2561,0.001,0.0,0.0,,nan,,nan,,EV1_mi
825,831,None,None,residential,60.0,nan,38.0,nan,nan,825,831,825_831,1405,2563,0.001,0.0,0.0,,nan,,nan,,EV1_mi
826,827,None,None,residential,60.0,nan,31.0,nan,nan,826,827,826_827,1406,2551,0.001,0.0,0.0,,nan,,nan,,EV1_mi
827,1258,None,None,residential,60.0,nan,50.0,nan,nan,827,1258,827_1258,1407,3698,0.001,0.0,0.0,,nan,,nan,,EV1_mi
827,1277,None,None,residential,60.0,nan,241.0,nan,nan,827,1277,827_1277,1408,3740,0.004,0.07755899429321289,0.4668817873698428,,nan,,nan,,EV1_mi
828,829,None,None,residential,60.0,nan,169.0,nan,nan,828,829,828_829,1409,2557,0.003,0.0,0.0,,nan,,nan,,EV1_mi
829,838,None,None,residential,60.0,nan,53.0,nan,nan,829,838,829_838,1410,2583,0.001,0.0,0.0,,nan,,nan,,EV1_mi
829,841,None,None,residential,60.0,nan,58.0,nan,nan,829,841,829_841,1411,2593,0.001,0.0,0.0,,nan,,nan,,EV1_mi
830,836,None,None,residential,60.0,nan,47.0,nan,nan,830,836,830_836,1412,2577,0.001,0.0,0.0,,nan,,nan,,EV1_mi
831,1509,None,None,residential,60.0,nan,47.0,nan,nan,831,1509,831_1509,1413,4206,0.001,0.0,0.0,,nan,,nan,,EV1_mi
831,835,None,None,residential,60.0,nan,13.0,nan,nan,831,835,831_835,1414,2574,0.0,0.0,0.0,,nan,,nan,,EV1_mi
832,839,None,None,residential,60.0,nan,75.0,nan,nan,832,839,832_839,1415,2588,0.001,0.0,0.0,,nan,,nan,,EV1_mi
832,834,None,None,residential,60.0,nan,49.0,nan,nan,832,834,832_834,1416,2571,0.001,0.0,0.0,,nan,,nan,,EV1_mi
833,834,None,None,residential,60.0,nan,23.0,nan,nan,833,834,833_834,1417,2572,0.0,0.0,0.0,,nan,,nan,,EV1_mi
834,838,None,None,residential,60.0,nan,108.0,nan,nan,834,838,834_838,1418,2584,0.002,0.0,0.0,,nan,,nan,,EV1_mi
835,836,None,None,residential,60.0,nan,73.0,nan,nan,835,836,835_836,1419,2578,0.001,0.0,0.0,,nan,,nan,,EV1_mi
835,837,None,None,residential,60.0,nan,150.0,nan,nan,835,837,835_837,1420,2580,0.003,0.0,0.0,,nan,,nan,,EV1_mi
836,840,None,None,residential,60.0,nan,99.0,nan,nan,836,840,836_840,1421,2589,0.002,0.0,0.0,,nan,,nan,,EV1_mi
837,844,None,None,residential,60.0,nan,3.0,nan,nan,837,844,837_844,1422,2600,0.0,0.0,0.0,,nan,,nan,,EV1_mi
837,840,None,None,residential,60.0,nan,35.0,nan,nan,837,840,837_840,1423,2590,0.001,0.0,0.0,,nan,,nan,,EV1_mi
838,842,None,None,residential,60.0,nan,27.0,nan,nan,838,842,838_842,1424,2596,0.0,0.0,0.0,,nan,,nan,,EV1_mi
840,843,None,None,residential,60.0,nan,25.0,nan,nan,840,843,840_843,1425,2597,0.0,0.0,0.0,,nan,,nan,,EV1_mi
841,844,None,None,residential,60.0,nan,51.0,nan,nan,841,844,841_844,1426,2601,0.001,0.0,0.0,,nan,,nan,,EV1_mi
841,845,None,None,residential,60.0,nan,53.0,nan,nan,841,845,841_845,1427,2603,0.001,0.056705474853515625,0.7910083080765725,,nan,,nan,,EV1_mi
843,1258,None,None,residential,60.0,nan,160.0,nan,nan,843,1258,843_1258,1428,3699,0.003,0.0,0.0,,nan,,nan,,EV1_mi
843,1380,None,None,residential,60.0,nan,42.0,nan,nan,843,1380,843_1380,1429,3956,0.001,0.0,0.0,,nan,,nan,,EV1_mi
844,1510,None,None,residential,60.0,nan,44.0,nan,nan,844,1510,844_1510,1430,4207,0.001,0.06753659248352051,0.5242771182049347,,nan,,nan,,EV1_mi
845,1153,None,None,residential,60.0,nan,110.0,nan,nan,845,1153,845_1153,1431,3426,0.002,0.06547999382019043,0.8430393070914968,,nan,,nan,,EV1_mi
845,1343,None,None,residential,60.0,nan,65.0,nan,nan,845,1343,845_1343,1432,3892,0.001,0.38089799880981445,1.0,,nan,,0,65.0,EV1_mi
846,847,None,None,secondary,50.0,nan,88.0,nan,nan,846,847,846_847,1433,2609,0.002,0.0,0.0,,nan,,nan,,EV1_mi
846,1159,None,None,secondary,50.0,nan,163.0,nan,nan,846,1159,846_1159,1434,3440,0.003,0.0,0.0,,nan,,nan,,EV1_mi
846,1441,None,None,residential,60.0,nan,390.0,nan,nan,846,1441,846_1441,1435,4113,0.007,0.050523996353149414,0.9608366997846496,,nan,,nan,,EV1_mi
848,849,None,None,residential,60.0,nan,195.0,nan,nan,848,849,848_849,1436,2613,0.003,0.0,0.0,,nan,,nan,,EV1_mi
848,850,None,None,secondary,50.0,nan,52.0,nan,nan,848,850,848_850,1437,2614,0.001,0.0,0.0,,nan,,nan,,EV1_mi
848,851,None,None,secondary,50.0,nan,56.0,nan,nan,848,851,848_851,1438,2618,0.001,0.0,0.0,,nan,,nan,,EV1_mi
850,1072,None,None,secondary,50.0,nan,57.0,nan,nan,850,1072,850_1072,1439,3216,0.001,0.0,0.0,,nan,,nan,,EV1_mi
850,1075,None,None,residential,60.0,nan,166.0,nan,nan,850,1075,850_1075,1440,3225,0.003,0.0,0.0,,nan,,nan,,EV1_mi
851,852,None,None,secondary,50.0,nan,16.0,nan,nan,851,852,851_852,1441,2620,0.0,0.0,0.0,,nan,,nan,,EV1_mi
852,1076,None,None,residential,60.0,nan,91.0,nan,nan,852,1076,852_1076,1442,3226,0.002,0.0,0.0,,nan,,nan,,EV1_mi
852,1077,None,None,secondary,50.0,nan,466.0,nan,nan,852,1077,852_1077,1443,3229,0.009,0.0,0.0,,nan,,nan,,EV1_mi
853,854,None,None,residential,60.0,2,19.0,60,nan,853,854,853_854,1444,2626,0.0,0.0,0.0,,nan,,nan,,EV1_mi
853,855,None,None,residential,60.0,2,32.0,60,nan,853,855,853_855,1445,2629,0.001,0.0,0.0,,nan,,nan,,EV1_mi
853,856,None,None,residential,60.0,nan,176.0,nan,nan,853,856,853_856,1446,2633,0.003,0.06298446655273438,0.9247218762066848,,nan,,nan,,EV1_mi
854,1113,None,None,residential,60.0,2,48.0,60,nan,854,1113,854_1113,1447,3314,0.001,0.0,0.0,,nan,,nan,,EV1_mi
854,1114,None,None,residential,60.0,nan,187.0,nan,nan,854,1114,854_1114,1448,3317,0.003,0.10735893249511719,0.9595231955274383,,nan,,nan,,EV1_mi
855,1110,None,None,residential,60.0,2,48.0,60,nan,855,1110,855_1110,1449,3304,0.001,0.0,0.0,,nan,,nan,,EV1_mi
855,1111,None,None,residential,60.0,nan,692.0,nan,nan,855,1111,855_1111,1450,3308,0.012,0.052701711654663086,0.9891325510904115,,nan,,nan,,EV1_mi
855,1112,None,None,residential,60.0,nan,297.0,nan,nan,855,1112,855_1112,1451,3311,0.005,0.05001544952392578,0.9349315359153284,,nan,,nan,,EV1_mi
856,1375,None,None,residential,60.0,nan,58.0,nan,nan,856,1375,856_1375,1452,3947,0.001,0.0905301570892334,0.6012934570351015,,nan,,nan,,EV1_mi
856,1376,None,None,residential,60.0,nan,161.0,nan,nan,856,1376,856_1376,1453,3950,0.003,0.07067465782165527,1.0,,nan,,nan,,EV1_mi
857,858,None,None,residential,60.0,2,7.0,60,nan,857,858,857_858,1454,2639,0.0,0.0,0.0,,nan,,nan,,EV1_mi
857,859,None,None,residential,60.0,nan,62.0,nan,nan,857,859,857_859,1455,2642,0.001,0.06519436836242676,0.7673164072736375,,nan,,nan,,EV1_mi
858,1130,None,None,residential,60.0,2,46.0,60,nan,858,1130,858_1130,1456,3363,0.001,0.0,0.0,,nan,,nan,,EV1_mi
858,1511,None,None,residential,60.0,nan,178.0,nan,nan,858,1511,858_1511,1457,4208,0.003,0.06967639923095703,0.12652678973541676,,nan,,nan,,EV1_mi
859,1151,None,None,residential,60.0,nan,115.0,nan,nan,859,1151,859_1151,1458,3421,0.002,0.08925557136535645,0.9005282056790342,,nan,,nan,,EV1_mi
859,1396,None,None,residential,60.0,nan,156.0,nan,nan,859,1396,859_1396,1459,3997,0.003,0.09173369407653809,1.0,,nan,,nan,,EV1_mi
860,861,None,None,residential,60.0,nan,129.0,nan,nan,860,861,860_861,1460,2646,0.002,0.0,0.0,,nan,,nan,,EV1_mi
861,862,None,None,residential,60.0,nan,49.0,nan,nan,861,862,861_862,1461,2651,0.001,0.0,0.0,,nan,,nan,,EV1_mi
861,865,None,None,residential,60.0,nan,101.0,nan,nan,861,865,861_865,1462,2662,0.002,0.0,0.0,,nan,,nan,,EV1_mi
861,866,None,None,residential,60.0,nan,266.0,nan,nan,861,866,861_866,1463,2664,0.004,0.05027651786804199,0.6410434574338638,,nan,,nan,,EV1_mi
862,863,None,None,residential,60.0,nan,55.0,nan,nan,862,863,862_863,1464,2654,0.001,0.0,0.0,,nan,,nan,,EV1_mi
862,864,None,None,residential,60.0,nan,264.0,nan,nan,862,864,862_864,1465,2657,0.004,0.053707122802734375,0.48618837569383827,,nan,,nan,,EV1_mi
863,1127,None,None,residential,60.0,nan,132.0,nan,nan,863,1127,863_1127,1466,3354,0.002,0.05550336837768555,0.017642904751406407,,nan,,nan,,EV1_mi
863,1135,None,None,residential,60.0,2,205.0,60,nan,863,1135,863_1135,1467,3380,0.003,0.0,0.0,,nan,,nan,,EV1_mi
864,866,None,None,residential,60.0,nan,49.0,nan,nan,864,866,864_866,1468,2665,0.001,0.28966259956359863,1.0,,nan,,nan,,EV1_mi
864,868,None,None,residential,60.0,nan,109.0,nan,nan,864,868,864_868,1469,2671,0.002,0.06425833702087402,0.9452660770105636,,nan,,nan,,EV1_mi
864,869,None,None,residential,60.0,nan,162.0,nan,nan,864,869,864_869,1470,2674,0.003,0.11763358116149902,1.0,,nan,,nan,,EV1_mi
865,867,None,None,residential,60.0,nan,59.0,nan,nan,865,867,865_867,1471,2669,0.001,0.0,0.0,,nan,,nan,,EV1_mi
866,871,None,None,residential,60.0,nan,68.0,nan,nan,866,871,866_871,1472,2678,0.001,0.19644904136657715,1.0,,nan,,nan,,EV1_mi
866,872,None,None,residential,60.0,nan,50.0,nan,nan,866,872,866_872,1473,2679,0.001,0.310441255569458,1.0,,nan,,0,50.0,EV1_mi
867,870,None,None,residential,60.0,nan,137.0,nan,nan,867,870,867_870,1474,2675,0.002,0.07593655586242676,0.9374724347398683,,nan,,nan,,EV1_mi
868,1135,None,None,residential,60.0,nan,100.0,nan,nan,868,1135,868_1135,1475,3381,0.002,0.06969738006591797,0.7599540372625473,,nan,,nan,,EV1_mi
868,1151,None,None,residential,60.0,nan,36.0,nan,nan,868,1151,868_1151,1476,3422,0.001,0.0,0.0,,nan,,nan,,EV1_mi
870,1277,None,None,residential,60.0,nan,62.0,nan,nan,870,1277,870_1277,1477,3741,0.001,0.40198254585266113,1.0,554.0,"[870, 867, 820, 826, 827, 1277]",492.0,1,62.0,EV1_mi
870,1501,None,None,residential,60.0,nan,62.0,nan,nan,870,1501,870_1501,1478,4196,0.001,0.238739013671875,1.0,,nan,,nan,,EV1_mi
872,1257,None,None,residential,60.0,nan,159.0,nan,nan,872,1257,872_1257,1479,3697,0.003,0.23376679420471191,1.0,,nan,,nan,,EV1_mi
872,1377,None,None,residential,60.0,nan,638.0,nan,nan,872,1377,872_1377,1480,3953,0.011,0.0704507827758789,0.9451107395918931,,nan,,nan,,EV1_mi
873,1205,None,None,tertiary,58.0,nan,23.0,nan,nan,873,1205,873_1205,1481,3558,0.0,0.0,0.0,,nan,,nan,,EV1_mi
875,1219,None,None,tertiary,58.0,nan,188.0,nan,nan,875,1219,875_1219,1482,3597,0.003,0.0,0.0,,nan,,nan,,EV1_mi
876,877,None,None,tertiary,58.0,nan,133.0,nan,nan,876,877,876_877,1483,2694,0.002,0.0602569580078125,0.004518435441539525,,nan,,nan,,EV1_mi
876,879,None,None,tertiary,58.0,nan,69.0,nan,nan,876,879,876_879,1484,2701,0.001,0.0,0.0,,nan,,nan,,EV1_mi
876,878,None,None,residential,60.0,nan,213.0,nan,nan,876,878,876_878,1485,2697,0.004,0.051224470138549805,0.7543339719997056,,nan,,nan,,EV1_mi
877,904,None,None,tertiary,58.0,nan,17.0,nan,nan,877,904,877_904,1486,2762,0.0,0.0,0.0,,nan,,nan,,EV1_mi
877,1316,None,None,tertiary_link,58.0,nan,29.0,nan,nan,877,1316,877_1316,1487,3829,0.001,0.0,0.0,,nan,,nan,,EV1_mi
878,882,None,None,residential,60.0,nan,315.0,nan,nan,878,882,878_882,1488,2710,0.005,0.05885124206542969,0.9430963840908719,,nan,,nan,,EV1_mi
878,905,None,None,residential,60.0,nan,145.0,nan,nan,878,905,878_905,1489,2765,0.002,0.057959556579589844,1.0,,nan,,nan,,EV1_mi
878,1478,None,None,residential,60.0,nan,33.0,nan,nan,878,1478,878_1478,1490,4168,0.001,0.05885124206542969,1.0,,nan,,nan,,EV1_mi
879,1317,None,None,tertiary_link,58.0,nan,27.0,nan,nan,879,1317,879_1317,1491,3832,0.0,0.0,0.0,,nan,,nan,,EV1_mi
879,1318,None,None,tertiary,58.0,nan,18.0,nan,nan,879,1318,879_1318,1492,3835,0.0,0.0,0.0,,nan,,nan,,EV1_mi
880,881,None,None,tertiary,60.0,2,146.0,60,nan,880,881,880_881,1493,2708,0.002,0.0,0.0,,nan,,nan,,EV1_mi
880,883,None,None,tertiary,60.0,2,110.0,60,nan,880,883,880_883,1494,2714,0.002,0.0,0.0,,nan,,nan,,EV1_mi
880,882,None,None,residential,60.0,nan,242.0,nan,nan,880,882,880_882,1495,2711,0.004,0.07650089263916016,0.3190788417861047,,nan,,nan,,EV1_mi
881,1067,None,None,tertiary,58.0,nan,10.0,nan,nan,881,1067,881_1067,1496,3201,0.0,0.0,0.0,,nan,,nan,,EV1_mi
882,884,None,None,residential,60.0,nan,57.0,nan,nan,882,884,882_884,1497,2717,0.001,0.07991623878479004,1.0,,nan,,nan,,EV1_mi
882,883,None,None,residential,60.0,nan,254.0,nan,nan,882,883,882_883,1498,2715,0.004,0.050147056579589844,0.5966526342181312,,nan,,nan,,EV1_mi
883,885,None,None,tertiary,60.0,2,194.0,60,nan,883,885,883_885,1499,2719,0.003,0.0,0.0,,nan,,nan,,EV1_mi
885,1327,None,None,tertiary,60.0,2,17.0,60,nan,885,1327,885_1327,1500,3858,0.0,0.0,0.0,,nan,,nan,,EV1_mi
886,887,None,None,residential,60.0,nan,186.0,nan,yes,886,887,886_887,1501,2722,0.003,0.1719660758972168,0.4712315468038952,,nan,,nan,,EV1_mi
888,889,None,None,residential,60.0,nan,97.0,nan,nan,888,889,888_889,1502,2726,0.002,0.09012842178344727,0.1386546473875554,,nan,,nan,,EV1_mi
888,890,None,None,residential,60.0,nan,77.0,nan,nan,888,890,888_890,1503,2727,0.001,0.06415605545043945,0.0771928270002967,,nan,,nan,,EV1_mi
888,891,None,None,residential,60.0,nan,38.0,nan,nan,888,891,888_891,1504,2731,0.001,0.0,0.0,,nan,,nan,,EV1_mi
890,892,None,None,residential,60.0,nan,155.0,nan,nan,890,892,890_892,1505,2732,0.003,0.0,0.0,,nan,,nan,,EV1_mi
890,893,None,None,residential,60.0,nan,61.0,nan,nan,890,893,890_893,1506,2735,0.001,0.11868119239807129,0.11516681129826342,,nan,,nan,,EV1_mi
890,894,None,None,residential,60.0,nan,87.0,nan,nan,890,894,890_894,1507,2736,0.001,0.0,0.0,,nan,,nan,,EV1_mi
892,897,None,None,residential,60.0,nan,115.0,nan,nan,892,897,892_897,1508,2743,0.002,0.0,0.0,,nan,,nan,,EV1_mi
892,900,None,None,residential,60.0,nan,40.0,nan,nan,892,900,892_900,1509,2752,0.001,0.0,0.0,,nan,,nan,,EV1_mi
