u,v,link_id,ID,highway,avgspeed,lanes,length_x,maxspeed,bridge,node_A,node_B,edge_fid,rfid_c,rfid,time,EV1_mi,EV1_fr,alt_length,alt_nodes,diff_length,connected,length_y,hazard
22,660,None,None,residential,60.0,nan,120.0,nan,nan,22,660,22_660,45,2057,0.002,0.05626797676086426,0.8818901793872553,,nan,,nan,,EV1_mi
23,663,None,None,residential,60.0,nan,67.0,nan,nan,23,663,23_663,46,2068,0.001,0.0,0.0,,nan,,nan,,EV1_mi
23,657,None,None,residential,60.0,nan,179.0,nan,nan,23,657,23_657,47,2049,0.003,0.0,0.0,,nan,,nan,,EV1_mi
24,25,None,None,residential,60.0,nan,49.0,nan,nan,24,25,24_25,48,80,0.001,0.0,0.0,,nan,,nan,,EV1_mi
26,27,None,None,residential,60.0,nan,115.0,nan,nan,26,27,26_27,49,84,0.002,0.0,0.0,,nan,,nan,,EV1_mi
26,28,None,None,residential,60.0,nan,109.0,nan,nan,26,28,26_28,50,87,0.002,0.0,0.0,,nan,,nan,,EV1_mi
27,28,None,None,residential,60.0,nan,36.0,nan,nan,27,28,27_28,51,88,0.001,0.0,0.0,,nan,,nan,,EV1_mi
27,29,None,None,residential,60.0,nan,206.0,nan,nan,27,29,27_29,52,90,0.003,0.0,0.0,,nan,,nan,,EV1_mi
28,30,None,None,residential,60.0,nan,445.0,nan,nan,28,30,28_30,53,94,0.007,0.0,0.0,,nan,,nan,,EV1_mi
29,465,None,None,residential,60.0,nan,187.0,nan,nan,29,465,29_465,54,1471,0.003,0.0,0.0,,nan,,nan,,EV1_mi
29,32,None,None,residential,60.0,nan,166.0,nan,nan,29,32,29_32,55,100,0.003,0.0,0.0,,nan,,nan,,EV1_mi
29,468,None,None,residential,60.0,nan,208.0,nan,nan,29,468,29_468,56,1480,0.003,0.0,0.0,,nan,,nan,,EV1_mi
30,31,None,None,residential,60.0,nan,52.0,nan,nan,30,31,30_31,57,97,0.001,0.0,0.0,,nan,,nan,,EV1_mi
