o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
11590763576,11590763622,A_231,B_1,917.0,1746.39505005,education,EV1_ma,917.0,0.0
11590763577,11590763622,A_232,B_1,1356.0,1316.22281265,education,EV1_ma,1356.0,0.0
11590763579,1934244652,A_247,B_2,1956.0,1922.93091011,education,EV1_ma,1956.0,0.0
11590763580,1934244652,A_250,B_2,3465.0,1439.87953758,education,EV1_ma,,
11590763581,11590763622,A_251,B_1,160.0,1558.94218254,education,EV1_ma,160.0,0.0
11590763582,11590763622,A_253,B_1,1279.0,1711.49200726,education,EV1_ma,1279.0,0.0
11590763585,11590763622,A_257,B_1,4892.0,1040.31194687,education,EV1_ma,,
11590763586,1934244652,A_267,B_2,1674.0,1072.58284569,education,EV1_ma,1674.0,0.0
11590763587,1934244652,A_268,B_2,1404.0,1536.36138153,education,EV1_ma,1404.0,0.0
11590763588,1934244652,A_269,B_2,1301.0,1013.78449821,education,EV1_ma,1301.0,0.0
11590763589,11590763622,A_273,B_1,713.0,2461.33372116,education,EV1_ma,,
11590763590,11590763622,A_276,B_1,1778.0,1715.69475746,education,EV1_ma,1778.0,0.0
11590763592,11590763622,A_281,B_1,4438.0,1396.63955688,education,EV1_ma,,
11590763593,1934244652,A_287,B_2,1621.0,1474.05879116,education,EV1_ma,1621.0,0.0
11590763594,1934244652,A_288,B_2,1075.0,1531.52594566,education,EV1_ma,1075.0,0.0
11590763595,1934244652,A_292,B_2,1889.0,2294.25948334,education,EV1_ma,,
11590763597,11590763622,A_295,B_1,1801.0,2003.88581848,education,EV1_ma,,
11590763598,11590763622,A_300,B_1,3791.0,1537.49044418,education,EV1_ma,,
11590763599,11590763622,A_301,B_1,4674.0,1464.71004105,education,EV1_ma,,
11590763600,11590763622,A_303,B_1,5562.0,1239.84428596,education,EV1_ma,,
11590763601,1934244652,A_306,B_2,1083.0,199.80621338,education,EV1_ma,1083.0,0.0
11590763602,1934244652,A_308,B_2,23.0,1638.06154919,education,EV1_ma,23.0,0.0
11590763603,1934244652,A_310,B_2,1357.0,1693.35393715,education,EV1_ma,1357.0,0.0
11590763604,1934244652,A_311,B_2,1786.0,2374.67459869,education,EV1_ma,,
11590763605,1934244652,A_312,B_2,2144.0,2291.48970795,education,EV1_ma,,
11590763609,11590763622,A_316,B_1,3056.0,1888.91226196,education,EV1_ma,,
11590763610,11590763622,A_318,B_1,4671.0,1846.9139595,education,EV1_ma,,
11590763611,11590763622,A_319,B_1,5083.0,1729.61700249,education,EV1_ma,,
11590763612,11590763622,A_321,B_1,5802.0,828.86365795,education,EV1_ma,,
11590763613,1934244652,A_324,B_2,762.0,949.35508919,education,EV1_ma,762.0,0.0
11590763614,1934244652,A_327,B_2,1071.0,757.88712883,education,EV1_ma,1071.0,0.0
11590763616,11590763622,A_334,B_1,3886.0,1942.03381729,education,EV1_ma,,
11590763617,11590763622,A_337,B_1,5384.0,542.7651577,education,EV1_ma,,
11590763618,1934244652,A_343,B_2,3292.0,782.92469025,education,EV1_ma,,
11590763619,1934244652,A_344,B_2,3771.0,1259.18093109,education,EV1_ma,,
11590763620,1934244652,A_345,B_2,4174.0,953.19294739,education,EV1_ma,,
11590763621,11590763622,A_346,B_1,4561.0,428.39468002,education,EV1_ma,,
683300823,11590763625,A_289,"B_5,B_6",3971.0,1509.23569012,hospital,EV1_ma,3971.0,0.0
762948405,11590763625,A_307,"B_5,B_6",3748.0,1494.48296547,hospital,EV1_ma,3748.0,0.0
776490175,11590763625,A_271,"B_5,B_6",3919.0,1202.6553421,hospital,EV1_ma,3919.0,0.0
776513552,11590763625,A_248,"B_5,B_6",4726.0,1691.79252434,hospital,EV1_ma,4726.0,0.0
776513559,11590763625,A_249,"B_5,B_6",4482.0,2140.27134323,hospital,EV1_ma,4482.0,0.0
1833313103,11590763625,A_342,"B_5,B_6",380.0,889.95633221,hospital,EV1_ma,380.0,0.0
