u,v,traffic,traffic_egalitarian,traffic_prioritarian
5504218404,5715381571,1120.58564453125,1.0,1120.58564453125
1848302353,1988151507,4482.342578125,4.0,4482.342578125
1988151507,1957951851,4482.342578125,4.0,4482.342578125
1957951851,1971929461,4482.342578125,4.0,4482.342578125
1971929461,1848302348,3361.7569335937496,3.0,3361.7569335937496
1971822806,5521479268,5960.990429687499,4.0,11560.9149612546
5521479268,1847768303,5960.990429687499,4.0,11560.9149612546
1847768303,5675748457,24076.394335937497,18.0,29747.40085186376
5675748457,7304846122,24076.394335937497,18.0,29747.40085186376
7304846122,1847768304,24076.394335937497,18.0,29747.40085186376
1847768304,1847768354,24076.394335937497,18.0,29747.40085186376
1971929461,1971822799,1120.58564453125,1.0,1120.58564453125
1971822799,1977410506,2980.4952148437496,2.0,5780.4574806273
1977410506,559431729,2980.4952148437496,2.0,5780.4574806273
559431729,559431731,2980.4952148437496,2.0,5780.4574806273
559431731,5891888009,2980.4952148437496,2.0,5780.4574806273
13081248576,1977410546,9299.5478515625,5.0,23299.35918048025
1977410546,1971822799,9299.5478515625,5.0,23299.35918048025
1971822799,1848302348,7439.63828125,4.0,18639.4873443842
1848302348,1848280088,10917.611523437501,8.0,13753.114781400627
1848280088,1848280242,10917.611523437501,8.0,13753.114781400627
1848280242,6784189922,10917.611523437501,8.0,13753.114781400627
6784189922,5504218397,10917.611523437501,8.0,13753.114781400627
5504218397,5504218399,10917.611523437501,8.0,13753.114781400627
13081248577,5891887998,9448.724609375,5.0,9377.489219441331
5891887998,5891887997,16616.681640625,11.0,16595.234320857646
5891887997,13081248620,14726.93671875,10.0,14719.736476969376
13081248620,1977410498,5669.234765625,3.0,5626.493531664799
1977410498,5891888010,5669.234765625,3.0,5626.493531664799
5891888010,1957952262,27173.105859374995,21.0,27279.72883591374
1957952262,1848302290,27173.105859374995,21.0,27279.72883591374
1848302290,1971822806,9057.701953125,7.0,9093.242945304577
1971822806,1848302348,9057.701953125,7.0,9093.242945304577
1848302290,1847768303,18115.40390625,14.0,18186.48589060916
5891887997,5891887996,1889.744921875,1.0,1875.4978438882663
5891887996,13081248621,30561.573046874993,25.0,30746.47824955352
13081248578,1977726017,6692.47216796875,5.0,2544.7635864362087
1977726017,1979143906,4015.4833007812504,3.0,1526.8581518617252
1979143906,5675645894,4015.4833007812504,3.0,1526.8581518617252
5675645894,1977417695,4015.4833007812504,3.0,1526.8581518617252
1977417695,1977416894,4015.4833007812504,3.0,1526.8581518617252
1977416894,1847768354,1338.49443359375,1.0,508.95271728724174
1977416894,1977416892,2676.9888671875,2.0,1017.9054345744835
1977726017,1977726016,2676.9888671875,2.0,1017.9054345744835
1977726016,1979143905,2676.9888671875,2.0,1017.9054345744835
1979143905,6056409236,2676.9888671875,2.0,1017.9054345744835
6056409236,1977417694,2676.9888671875,2.0,1017.9054345744835
1977417694,5675748458,2676.9888671875,2.0,1017.9054345744835
5675748458,5675748457,2676.9888671875,2.0,1017.9054345744835
7118791906,1977413998,6644.5,5.0,16239.586517093998
1977413998,2459127367,6644.5,5.0,16239.586517093998
2459127367,13081248591,27864.833007812507,25.0,28173.897751033768
13081248591,1977410535,35839.78515624999,30.0,36088.725507081566
1977410535,5891888008,35839.78515624999,30.0,36088.725507081566
5891888008,5891887999,35839.78515624999,30.0,36088.725507081566
5891887999,5891887996,28671.828124999996,24.0,28870.980405665254
13081248621,5891887994,21503.871093750004,18.0,21653.235304248945
5891887994,5891888009,21503.871093750004,18.0,21653.235304248945
5891888009,5891888010,21503.871093750004,18.0,21653.235304248945
5891887999,5891887998,7167.95703125,6.0,7217.745101416312
876889400,2932497657,4657.86962890625,5.0,153.50951183299512
2932497657,2932497652,4657.86962890625,5.0,153.50951183299512
2932497652,876889494,4657.86962890625,5.0,153.50951183299512
876889494,2874022726,4657.86962890625,5.0,153.50951183299512
2874022726,2874022722,4657.86962890625,5.0,153.50951183299512
2874022722,876916567,4657.86962890625,5.0,153.50951183299512
876916567,2459127367,21220.333007812507,20.0,11934.311233939761
13081248601,876916567,16562.46337890625,15.0,11780.801722106766
13081248602,6130028044,7310.28076171875,5.0,2528.6191049192653
6130028044,6130029703,7310.28076171875,5.0,2528.6191049192653
6130029703,2530351154,7310.28076171875,5.0,2528.6191049192653
2530351154,13081248601,11562.986328124998,10.0,6781.324671325514
13081248611,586717899,4252.70556640625,5.0,4252.70556640625
586717899,2530351154,4252.70556640625,5.0,4252.70556640625
