ID,u,v,RP10_fr,RP10_ma,alt_nodes,alt_time,avgspeed,bridge,connected,diff_time,edge_fid,hazard,highway,lanes,length,link_id,maxspeed,node_A,node_B,rfid,rfid_c,time,vlh_business_RP10_ma,vlh_commute_RP10_ma,vlh_freight_RP10_ma,vlh_other_RP10_ma,vlh_RP10_ma_total
153,112,114,0.0,0.0,nan,,58.0,nan,nan,nan,112_114,RP10_ma,tertiary_link,nan,30.0,153,nan,112,114,328,190,0.001,0.0,0.0,0.0,0.0,0.0
182,112,129,0.0,0.0,nan,,58.0,nan,nan,nan,112_129,RP10_ma,tertiary,nan,17.0,182,nan,112,129,373,191,0.0,0.0,0.0,0.0,0.0,0.0
155,113,117,0.0,0.0,nan,,58.0,nan,nan,nan,113_117,RP10_ma,tertiary,nan,18.0,155,nan,113,117,339,192,0.0,0.0,0.0,0.0,0.0,0.0
156,113,116,0.0,0.0,nan,,58.0,nan,nan,nan,113_116,RP10_ma,tertiary_link,nan,29.0,156,nan,113,116,335,193,0.001,0.0,0.0,0.0,0.0,0.0
152,114,115,0.0,0.0,nan,,58.0,nan,nan,nan,114_115,RP10_ma,tertiary,nan,15.0,152,nan,114,115,331,194,0.0,0.0,0.0,0.0,0.0,0.0
154,114,116,0.0,0.0,nan,,58.0,nan,nan,nan,114_116,RP10_ma,tertiary,nan,80.0,154,nan,114,116,336,195,0.001,0.0,0.0,0.0,0.0,0.0
181,115,128,0.0,0.0,nan,,58.0,nan,nan,nan,115_128,RP10_ma,tertiary,nan,85.0,181,nan,115,128,370,196,0.001,0.0,0.0,0.0,0.0,0.0
183,115,129,0.0,0.0,nan,,58.0,nan,nan,nan,115_129,RP10_ma,tertiary_link,nan,30.0,183,nan,115,129,374,197,0.001,0.0,0.0,0.0,0.0,0.0
161,118,121,0.0,0.0,nan,,58.0,nan,nan,nan,118_121,RP10_ma,tertiary,nan,26.0,161,nan,118,121,350,198,0.0,0.0,0.0,0.0,0.0,0.0
160,119,120,0.0,0.0,nan,,58.0,nan,nan,nan,119_120,RP10_ma,tertiary,nan,190.0,160,nan,119,120,348,199,0.003,0.0,0.0,0.0,0.0,0.0
162,119,121,0.0,0.0,nan,,58.0,nan,nan,nan,119_121,RP10_ma,tertiary_link,nan,35.0,162,nan,119,121,351,200,0.001,0.0,0.0,0.0,0.0,0.0
171,124,125,0.0,0.0,nan,,58.0,nan,nan,nan,124_125,RP10_ma,tertiary,nan,96.0,171,nan,124,125,363,201,0.002,0.0,0.0,0.0,0.0,0.0
173,124,126,0.0,0.0,nan,,58.0,nan,nan,nan,124_126,RP10_ma,tertiary_link,nan,21.0,173,nan,124,126,365,202,0.0,0.0,0.0,0.0,0.0,0.0
172,126,127,0.0,0.0,nan,,58.0,nan,nan,nan,126_127,RP10_ma,tertiary,nan,16.0,172,nan,126,127,369,203,0.0,0.0,0.0,0.0,0.0,0.0
192,128,134,0.0,0.0,nan,,58.0,nan,nan,nan,128_134,RP10_ma,tertiary,nan,16.0,192,nan,128,134,383,204,0.0,0.0,0.0,0.0,0.0,0.0
193,128,133,0.0,0.0,nan,,58.0,nan,nan,nan,128_133,RP10_ma,tertiary_link,nan,29.0,193,nan,128,133,380,205,0.001,0.0,0.0,0.0,0.0,0.0
191,129,133,0.0,0.0,nan,,58.0,nan,nan,nan,129_133,RP10_ma,tertiary,nan,83.0,191,nan,129,133,381,206,0.001,0.0,0.0,0.0,0.0,0.0
195,133,136,0.0,0.0,nan,,58.0,nan,nan,nan,133_136,RP10_ma,tertiary,nan,17.0,195,nan,133,136,389,210,0.0,0.0,0.0,0.0,0.0,0.0
194,134,135,0.0,0.0,nan,,58.0,nan,nan,nan,134_135,RP10_ma,tertiary,nan,202.0,194,nan,134,135,386,211,0.003,0.0,0.0,0.0,0.0,0.0
196,134,136,0.0,0.0,nan,,58.0,nan,nan,nan,134_136,RP10_ma,tertiary_link,nan,29.0,196,nan,134,136,390,212,0.001,0.0,0.0,0.0,0.0,0.0
198,135,138,0.0,0.0,nan,,58.0,nan,nan,nan,135_138,RP10_ma,tertiary,nan,17.0,198,nan,135,138,395,213,0.0,0.0,0.0,0.0,0.0,0.0
199,135,137,0.0,0.0,nan,,58.0,nan,nan,nan,135_137,RP10_ma,tertiary_link,nan,27.0,199,nan,135,137,392,214,0.0,0.0,0.0,0.0,0.0,0.0
197,136,137,0.002978190999388547,0.0602569580078125,nan,,58.0,nan,nan,nan,136_137,RP10_ma,tertiary,nan,202.0,197,nan,136,137,393,215,0.003,0.0,0.0,0.0,0.0,0.0
